,variable,value,date,times
116,mood,8.0,2014-04-13,15:00:00.000
117,mood,7.0,2014-04-13,18:00:00.000
118,mood,7.0,2014-04-13,21:00:00.000
119,mood,7.0,2014-04-14,09:00:00.000
120,mood,9.0,2014-04-14,12:00:00.000
121,mood,7.0,2014-04-14,18:00:00.000
122,mood,8.0,2014-04-14,21:00:00.000
123,mood,8.0,2014-04-15,09:00:00.000
124,mood,7.0,2014-04-15,12:00:00.000
125,mood,8.0,2014-04-15,15:00:00.000
126,mood,7.0,2014-04-15,18:00:00.000
127,mood,8.0,2014-04-15,21:00:00.000
128,mood,8.0,2014-04-16,09:00:00.000
129,mood,8.0,2014-04-16,12:00:00.000
130,mood,8.0,2014-04-16,15:00:00.000
131,mood,9.0,2014-04-16,18:00:00.000
132,mood,9.0,2014-04-16,22:00:00.000
133,mood,8.0,2014-04-17,09:00:00.000
134,mood,8.0,2014-04-17,12:00:00.000
135,mood,8.0,2014-04-17,15:00:00.000
136,mood,7.0,2014-04-17,18:00:00.000
137,mood,7.0,2014-04-17,21:00:00.000
138,mood,7.0,2014-04-18,09:00:00.000
139,mood,7.0,2014-04-18,12:00:00.000
140,mood,7.0,2014-04-18,15:00:00.000
141,mood,8.0,2014-04-18,18:00:00.000
142,mood,8.0,2014-04-18,21:00:00.000
143,mood,7.0,2014-04-19,11:00:00.000
144,mood,8.0,2014-04-19,12:00:00.000
145,mood,8.0,2014-04-19,15:00:00.000
146,mood,8.0,2014-04-19,18:00:00.000
147,mood,8.0,2014-04-19,21:00:00.000
148,mood,7.0,2014-04-20,09:00:00.000
149,mood,8.0,2014-04-20,16:00:00.000
150,mood,8.0,2014-04-20,18:00:00.000
151,mood,8.0,2014-04-20,21:00:00.000
152,mood,8.0,2014-04-21,09:00:00.000
153,mood,8.0,2014-04-21,12:00:00.000
154,mood,7.0,2014-04-21,15:00:00.000
155,mood,8.0,2014-04-21,18:00:00.000
156,mood,8.0,2014-04-21,21:00:00.000
157,mood,7.0,2014-04-22,10:00:00.000
158,mood,8.0,2014-04-22,12:00:00.000
159,mood,9.0,2014-04-22,15:00:00.000
160,mood,8.0,2014-04-22,18:00:00.000
161,mood,8.0,2014-04-22,21:00:00.000
162,mood,7.0,2014-04-23,09:00:00.000
163,mood,8.0,2014-04-23,12:00:00.000
164,mood,8.0,2014-04-23,15:00:00.000
165,mood,8.0,2014-04-23,18:00:00.000
166,mood,7.0,2014-04-23,21:00:00.000
167,mood,8.0,2014-04-24,09:00:00.000
168,mood,8.0,2014-04-24,12:00:00.000
169,mood,8.0,2014-04-24,15:00:00.000
170,mood,8.0,2014-04-24,20:00:00.000
171,mood,9.0,2014-04-24,21:00:00.000
172,mood,8.0,2014-04-25,09:00:00.000
173,mood,8.0,2014-04-25,12:00:00.000
174,mood,8.0,2014-04-25,18:00:00.000
175,mood,6.0,2014-04-25,21:00:00.000
176,mood,8.0,2014-04-26,10:00:00.000
177,mood,8.0,2014-04-26,12:00:00.000
178,mood,8.0,2014-04-26,15:00:00.000
179,mood,7.0,2014-04-26,18:00:00.000
180,mood,8.0,2014-04-26,21:00:00.000
181,mood,7.0,2014-04-27,09:00:00.000
182,mood,8.0,2014-04-27,13:00:00.000
183,mood,8.0,2014-04-27,15:00:00.000
184,mood,8.0,2014-04-27,18:00:00.000
185,mood,8.0,2014-04-27,21:00:00.000
186,mood,8.0,2014-04-28,10:00:00.000
