,variable,value,date,times
0,mood,6.0,2014-04-03,09:00:00.000
1,mood,8.0,2014-04-03,11:00:00.000
2,mood,8.0,2014-04-03,15:00:00.000
3,mood,7.0,2014-04-03,18:00:00.000
4,mood,8.0,2014-04-03,21:00:00.000
5,mood,7.0,2014-04-04,09:00:00.000
6,mood,5.0,2014-04-04,11:00:00.000
7,mood,8.0,2014-04-04,15:00:00.000
8,mood,6.0,2014-04-04,18:00:00.000
9,mood,9.0,2014-04-04,21:00:00.000
10,mood,7.0,2014-04-05,11:00:00.000
11,mood,8.0,2014-04-05,13:00:00.000
12,mood,8.0,2014-04-05,16:00:00.000
13,mood,7.0,2014-04-05,18:00:00.000
14,mood,7.0,2014-04-05,20:00:00.000
15,mood,7.0,2014-04-06,09:00:00.000
16,mood,8.0,2014-04-06,12:00:00.000
17,mood,5.0,2014-04-06,14:00:00.000
18,mood,8.0,2014-04-06,18:00:00.000
19,mood,7.0,2014-04-06,20:00:00.000
20,mood,8.0,2014-04-07,09:00:00.000
21,mood,8.0,2014-04-07,12:00:00.000
22,mood,6.0,2014-04-07,15:00:00.000
23,mood,7.0,2014-04-07,18:00:00.000
24,mood,9.0,2014-04-07,21:00:00.000
25,mood,7.0,2014-04-08,09:00:00.000
26,mood,7.0,2014-04-08,12:00:00.000
27,mood,8.0,2014-04-08,15:00:00.000
28,mood,8.0,2014-04-08,18:00:00.000
29,mood,8.0,2014-04-08,20:00:00.000
30,mood,7.0,2014-04-09,09:00:00.000
31,mood,7.0,2014-04-09,12:00:00.000
32,mood,7.0,2014-04-09,17:00:00.000
33,mood,7.0,2014-04-09,19:00:00.000
34,mood,7.0,2014-04-09,21:00:00.000
35,mood,7.0,2014-04-10,09:00:00.000
36,mood,8.0,2014-04-10,11:00:00.000
37,mood,7.0,2014-04-10,15:00:00.000
38,mood,8.0,2014-04-10,17:00:00.000
39,mood,7.0,2014-04-10,21:00:00.000
40,mood,5.0,2014-04-11,09:00:00.000
41,mood,7.0,2014-04-11,12:00:00.000
42,mood,5.0,2014-04-11,15:00:00.000
43,mood,7.0,2014-04-11,18:00:00.000
44,mood,5.0,2014-04-11,21:00:00.000
45,mood,8.0,2014-04-12,11:00:00.000
46,mood,5.0,2014-04-12,17:00:00.000
47,mood,7.0,2014-04-12,18:00:00.000
48,mood,8.0,2014-04-12,21:00:00.000
49,mood,9.0,2014-04-13,11:00:00.000
50,mood,8.0,2014-04-13,15:00:00.000
51,mood,9.0,2014-04-13,19:00:00.000
52,mood,9.0,2014-04-13,21:00:00.000
53,mood,8.0,2014-04-14,10:00:00.000
54,mood,7.0,2014-04-14,12:00:00.000
55,mood,8.0,2014-04-14,15:00:00.000
56,mood,7.0,2014-04-14,18:00:00.000
57,mood,8.0,2014-04-14,21:00:00.000
58,mood,7.0,2014-04-15,09:00:00.000
59,mood,7.0,2014-04-15,13:00:00.000
60,mood,7.0,2014-04-15,16:00:00.000
61,mood,7.0,2014-04-15,18:00:00.000
62,mood,8.0,2014-04-15,21:00:00.000
63,mood,7.0,2014-04-16,09:00:00.000
64,mood,8.0,2014-04-16,12:00:00.000
65,mood,7.0,2014-04-16,14:00:00.000
66,mood,9.0,2014-04-16,19:00:00.000
67,mood,8.0,2014-04-16,20:00:00.000
68,mood,9.0,2014-04-17,09:00:00.000
