,id,time,variable,value
4654,AS14.28,2014-04-24 12:00:00.000,mood,7
4655,AS14.28,2014-04-24 15:00:00.000,mood,8
4656,AS14.28,2014-04-24 18:00:00.000,mood,8
4657,AS14.28,2014-04-24 21:00:00.000,mood,8
4658,AS14.28,2014-04-25 09:00:00.000,mood,7
4659,AS14.28,2014-04-25 12:00:00.000,mood,7
4660,AS14.28,2014-04-25 15:00:00.000,mood,7
4661,AS14.28,2014-04-25 18:00:00.000,mood,6
4662,AS14.28,2014-04-25 22:00:00.000,mood,8
4663,AS14.28,2014-04-26 12:00:00.000,mood,8
4664,AS14.28,2014-04-26 15:00:00.000,mood,8
4665,AS14.28,2014-04-27 10:00:00.000,mood,6
4666,AS14.28,2014-04-27 12:00:00.000,mood,6
4667,AS14.28,2014-04-27 19:00:00.000,mood,9
4668,AS14.28,2014-04-27 21:00:00.000,mood,8
4669,AS14.28,2014-04-28 08:00:00.000,mood,7
4670,AS14.28,2014-04-28 21:00:00.000,mood,8
4671,AS14.28,2014-04-29 09:00:00.000,mood,7
4672,AS14.28,2014-04-29 12:00:00.000,mood,7
4673,AS14.28,2014-04-29 14:00:00.000,mood,6
4674,AS14.28,2014-04-29 18:00:00.000,mood,7
4675,AS14.28,2014-04-29 21:00:00.000,mood,8
4676,AS14.28,2014-04-30 08:00:00.000,mood,7
4677,AS14.28,2014-04-30 12:00:00.000,mood,6
4678,AS14.28,2014-04-30 14:00:00.000,mood,5
4679,AS14.28,2014-04-30 19:00:00.000,mood,7
4680,AS14.28,2014-04-30 20:00:00.000,mood,6
4681,AS14.28,2014-05-01 09:00:00.000,mood,6
4682,AS14.28,2014-05-01 11:00:00.000,mood,7
4683,AS14.28,2014-05-01 15:00:00.000,mood,7
4684,AS14.28,2014-05-01 18:00:00.000,mood,6
4685,AS14.28,2014-05-01 20:00:00.000,mood,6
4686,AS14.28,2014-05-02 09:00:00.000,mood,6
4687,AS14.28,2014-05-02 12:00:00.000,mood,6
4688,AS14.28,2014-05-02 15:00:00.000,mood,7
4689,AS14.28,2014-05-02 18:00:00.000,mood,7
4690,AS14.28,2014-05-02 21:00:00.000,mood,8
4691,AS14.28,2014-05-03 09:00:00.000,mood,7
4692,AS14.28,2014-05-03 14:00:00.000,mood,6
4693,AS14.28,2014-05-03 15:00:00.000,mood,8
4694,AS14.28,2014-05-03 18:00:00.000,mood,8
4695,AS14.28,2014-05-03 21:00:00.000,mood,8
