	actualmood	mood
0	7.0	6.80952380952381
1	7.0	6.80952380952381
2	7.2	6.857142857142858
3	7.8	6.942857142857143
4	7.0	7.085714285714286
5	6.8	7.028571428571429
6	6.2	7.057142857142857
7	7.0	7.0
8	6.75	7.0
9	7.0	6.9642857142857135
10	6.8	6.935714285714285
11	7.8	6.792857142857143
12	8.0	6.9071428571428575
13	6.4	7.078571428571428
14	7.0	7.107142857142856
15	7.0	7.107142857142856
16	6.5	7.1428571428571415
17	7.0	7.071428571428571
18	7.0	7.1
19	7.4	6.985714285714287
20	6.8	6.9
21	7.0	6.957142857142856
22	7.0	6.957142857142856
23	7.0	6.957142857142856
24	7.0	7.0285714285714285
25	7.4	7.0285714285714285
26	7.2	7.0857142857142845
27	7.0	7.057142857142857
28	6.75	7.085714285714286
29	7.0	7.05
30	7.0	7.05
31	7.33333333333333	7.05
32	7.0	7.097619047619048
33	7.0	7.0404761904761894
34	7.0	7.011904761904762
35	7.0	7.011904761904762
36	7.0	7.047619047619048
37	6.6	7.047619047619048
38	7.66666666666667	6.507142857142857
39	6.6	6.923809523809523
40	6.8	6.8952380952380965
41	8.25	7.116666666666667
42	7.0	7.295238095238097
43	6.2	7.438095238095237
44	4.33333333333333	7.216666666666668
45	6.6	6.692857142857143
46	5.5	6.5404761904761894
47	6.2	6.383333333333333
48	6.5	6.297619047619048
49	6.0	6.047619047619048
50	6.75	5.904761904761906
51	5.4	5.9833333333333325
52	6.8	6.135714285714287
53	6.4	6.164285714285714
54	6.2	6.292857142857143
55	3.5	6.292857142857143
56	6.4	5.864285714285713
57	6.5	5.921428571428571
58	6.2	5.885714285714285
59	6.0	6.0
60	4.75	5.885714285714287
61	3.8	5.65
62	5.2	5.307142857142857
63	7.0	5.55
64	3.0	5.635714285714287
65	6.6	5.135714285714286
66	6.0	5.192857142857143
67	6.0	5.192857142857143
68	5.6	5.371428571428572
69	3.3333333333333304	5.628571428571429
70	5.4	5.3619047619047615
71	6.0	5.133333333333333
72	6.75	5.561904761904762
73	5.0	5.583333333333332
74	5.0	5.44047619047619
75	5.0	5.2976190476190474
76	6.2	5.211904761904762
77	5.66666666666667	5.621428571428572
78	8.0	5.659523809523812
79	5.5	5.945238095238096
80	7.75	7.542857142857143
81	7.8	7.649999999999999
82	8.4	7.649999999999999
83	7.6	7.764285714285713
84	7.6	7.735714285714287
85	7.8	7.707142857142857
86	7.6	7.678571428571429
87	8.0	7.792857142857144
88	7.8	7.828571428571429
89	8.0	7.828571428571429
90	8.0	7.771428571428572
91	7.6	7.828571428571429
92	7.8	7.828571428571429
93	7.75	7.828571428571429
94	8.2	7.85
95	7.66666666666667	7.878571428571429
96	7.8	7.859523809523813
97	7.2	7.830952380952383
98	7.75	7.716666666666669
99	7.6	7.738095238095241
100	8.4	7.709523809523811
101	7.6	7.802380952380955
102	7.4	7.716666666666669
103	7.8	7.678571428571429
104	7.75	7.678571428571429
105	7.8	7.757142857142857
106	8.0	7.764285714285713
107	7.6	7.821428571428571
108	8.2	7.707142857142857
109	7.5	7.792857142857144
110	7.8	7.807142857142857
111	7.8	7.807142857142857
112	8.0	7.814285714285715
113	8.0	7.8428571428571425
114	7.8	7.8428571428571425
115	8.2	7.871428571428572
116	8.0	7.871428571428571
117	7.8	7.942857142857143
118	7.8	7.942857142857143
119	8.0	7.942857142857143
120	8.0	8.085714285714285
121	8.6	7.942857142857143
122	8.4	8.057142857142855
123	7.4	8.085714285714285
124	7.6	8.028571428571428
125	7.4	8.0
126	7.8	7.878571428571428
127	7.8	7.885714285714285
128	7.6	7.857142857142856
129	6.8	7.7142857142857135
130	7.4	7.485714285714286
131	7.4	7.485714285714286
132	7.8	7.457142857142855
133	7.4	7.514285714285712
134	7.6	7.457142857142855
135	7.66666666666667	7.428571428571428
136	7.4	7.438095238095237
137	7.0	7.523809523809524
138	7.6	7.466666666666668
139	8.0	7.495238095238094
140	7.25	7.523809523809526
141	7.5	7.5023809523809515
142	7.8	7.488095238095238
143	7.5	7.507142857142857
144	7.4	7.5214285714285705
145	7.6	7.578571428571428
146	7.0	7.578571428571428
147	7.4	7.435714285714285
148	7.5	7.457142857142856
149	7.5	7.457142857142856
150	7.6	7.414285714285714
151	7.0	7.428571428571429
152	7.2	7.371428571428572
153	7.0	7.314285714285715
154	7.2	7.314285714285715
155	7.6	7.2857142857142865
156	7.75	7.3000000000000025
157	7.4	7.335714285714286
158	7.25	7.307142857142857
159	7.8	7.3428571428571425
160	7.66666666666667	7.428571428571429
161	7.0	7.457142857142856
162	7.75	7.457142857142856
163	6.8	7.564285714285713
164	7.2	7.392857142857141
165	7.0	7.421428571428571
166	7.0	7.3357142857142845
167	7.0	7.221428571428571
168	6.2	7.107142857142858
169	6.6	6.992857142857143
170	7.4	6.828571428571429
171	7.6	6.914285714285716
172	7.8	6.9714285714285715
173	8.2	7.085714285714286
174	6.5	7.257142857142857
175	7.25	7.185714285714285
176	7.0	7.3357142857142845
177	7.6	7.392857142857141
178	6.8	7.421428571428571
179	6.25	7.307142857142856
180	6.8	7.0857142857142845
181	8.2	6.885714285714284
182	7.0	7.128571428571428
183	6.6	7.0928571428571425
184	7.0	7.035714285714286
185	7.75	6.9499999999999975
186	6.4	7.0857142857142845
187	7.5	7.107142857142856
188	7.2	7.207142857142856
189	6.75	7.064285714285715
190	7.25	7.028571428571429
191	6.8	7.121428571428572
192	8.0	7.092857142857143
193	7.2	7.128571428571428
194	6.25	7.242857142857143
195	7.6	7.064285714285715
196	7.0	7.121428571428572
197	7.0	7.1571428571428575
198	6.75	7.121428571428572
199	7.0	7.114285714285715
200	7.5	6.976190476190474
201	6.5	7.1190476190476195
202	6.25	7.047619047619048
203	6.4	7.0357142857142865
204	7.75	6.985714285714287
205	7.2	6.921428571428572
206	7.25	6.9785714285714295
207	6.8	6.9785714285714295
208	7.25	6.878571428571429
209	7.0	6.985714285714287
210	7.2	7.0928571428571425
211	7.4	7.207142857142857
212	6.4	7.1571428571428575
213	5.75	7.042857142857144
214	6.4	6.828571428571429
215	7.4	6.771428571428572
216	4.5	6.792857142857144
217	6.8	6.435714285714287
218	6.25	6.378571428571428
219	7.25	6.2142857142857135
220	7.25	6.335714285714286
221	6.5	6.55
222	6.0	6.564285714285715
223	7.2	6.364285714285715
224	8.0	6.750000000000001
225	7.25	6.921428571428572
226	6.66666666666667	7.064285714285716
227	6.5	6.980952380952384
228	5.66666666666667	6.873809523809526
229	5.0	6.7547619047619065
230	5.5	6.611904761904764
231	5.66666666666667	6.369047619047621
232	5.5	6.035714285714289
233	7.0	5.785714285714289
234	9.0	5.833333333333336
235	5.66666666666667	6.942857142857143
236	6.8	6.60952380952381
237	6.5	6.523809523809526
238	7.0	6.538095238095238
239	6.4	6.595238095238097
240	6.0	6.480952380952381
241	5.6	6.395238095238095
242	6.0	6.280952380952381
243	6.5	6.328571428571428
244	6.0	6.2857142857142865
245	5.4	6.2142857142857135
246	6.0	5.985714285714287
247	5.8	5.928571428571429
248	6.4	5.9
249	6.25	6.014285714285713
250	6.2	6.049999999999999
251	7.0	6.007142857142857
252	6.75	6.15
253	7.0	6.342857142857143
254	6.4	6.485714285714287
255	7.2	6.571428571428571
256	6.6	6.685714285714287
257	7.0	6.735714285714287
258	7.0	6.8500000000000005
259	6.4	6.8500000000000005
260	7.0	6.8
261	6.6	6.8
262	7.25	6.828571428571429
263	7.0	6.835714285714286
264	6.8	6.892857142857142
265	7.2	6.864285714285713
266	7.0	6.892857142857142
267	7.25	6.9785714285714295
268	6.6	7.014285714285713
269	7.25	7.014285714285713
270	5.4	7.014285714285713
271	7.2	6.7857142857142865
