,id,time,variable,value
3647,AS14.24,2014-04-14 21:00:00.000,mood,8
3648,AS14.24,2014-04-15 09:00:00.000,mood,8
3649,AS14.24,2014-04-15 12:00:00.000,mood,8
3650,AS14.24,2014-04-15 15:00:00.000,mood,7
3651,AS14.24,2014-04-15 20:00:00.000,mood,8
3652,AS14.24,2014-04-15 21:00:00.000,mood,7
3653,AS14.24,2014-04-16 09:00:00.000,mood,6
3654,AS14.24,2014-04-16 13:00:00.000,mood,9
3655,AS14.24,2014-04-16 15:00:00.000,mood,8
3656,AS14.24,2014-04-16 18:00:00.000,mood,7
3657,AS14.24,2014-04-16 21:00:00.000,mood,7
3658,AS14.24,2014-04-17 09:00:00.000,mood,7
3659,AS14.24,2014-04-17 12:00:00.000,mood,7
3660,AS14.24,2014-04-17 15:00:00.000,mood,6
3661,AS14.24,2014-04-17 18:00:00.000,mood,7
3662,AS14.24,2014-04-18 09:00:00.000,mood,7
3663,AS14.24,2014-04-18 14:00:00.000,mood,7
3664,AS14.24,2014-04-18 15:00:00.000,mood,6
3665,AS14.24,2014-04-18 18:00:00.000,mood,7
3666,AS14.24,2014-04-18 21:00:00.000,mood,8
3667,AS14.24,2014-04-19 10:00:00.000,mood,7
3668,AS14.24,2014-04-19 12:00:00.000,mood,7
3669,AS14.24,2014-04-19 17:00:00.000,mood,7
3670,AS14.24,2014-04-19 21:00:00.000,mood,8
3671,AS14.24,2014-04-20 09:00:00.000,mood,6
3672,AS14.24,2014-04-20 13:00:00.000,mood,8
3673,AS14.24,2014-04-20 16:00:00.000,mood,8
3674,AS14.24,2014-04-20 18:00:00.000,mood,8
3675,AS14.24,2014-04-20 21:00:00.000,mood,9
3676,AS14.24,2014-04-21 12:00:00.000,mood,7
3677,AS14.24,2014-04-21 17:00:00.000,mood,7
3678,AS14.24,2014-04-21 19:00:00.000,mood,8
3679,AS14.24,2014-04-21 21:00:00.000,mood,8
3680,AS14.24,2014-04-22 08:00:00.000,mood,8
3681,AS14.24,2014-04-22 12:00:00.000,mood,7
3682,AS14.24,2014-04-22 15:00:00.000,mood,6
3683,AS14.24,2014-04-22 17:00:00.000,mood,7
3684,AS14.24,2014-04-22 21:00:00.000,mood,8
3685,AS14.24,2014-04-23 11:00:00.000,mood,7
3686,AS14.24,2014-04-23 12:00:00.000,mood,7
3687,AS14.24,2014-04-23 15:00:00.000,mood,9
3688,AS14.24,2014-04-23 22:00:00.000,mood,7
3689,AS14.24,2014-04-24 09:00:00.000,mood,7
3690,AS14.24,2014-04-24 12:00:00.000,mood,7
3691,AS14.24,2014-04-24 15:00:00.000,mood,6
3692,AS14.24,2014-04-24 18:00:00.000,mood,7
3693,AS14.24,2014-04-24 21:00:00.000,mood,7
3694,AS14.24,2014-04-25 11:00:00.000,mood,7
3695,AS14.24,2014-04-25 12:00:00.000,mood,6
3696,AS14.24,2014-04-25 15:00:00.000,mood,6
3697,AS14.24,2014-04-25 18:00:00.000,mood,5
3698,AS14.24,2014-04-25 21:00:00.000,mood,7
3699,AS14.24,2014-04-26 09:00:00.000,mood,7
3700,AS14.24,2014-04-26 14:00:00.000,mood,8
3701,AS14.24,2014-04-26 16:00:00.000,mood,8
3702,AS14.24,2014-04-26 20:00:00.000,mood,8
3703,AS14.24,2014-04-26 21:00:00.000,mood,7
3704,AS14.24,2014-04-27 11:00:00.000,mood,7
3705,AS14.24,2014-04-27 14:00:00.000,mood,6
3706,AS14.24,2014-04-27 18:00:00.000,mood,7
3707,AS14.24,2014-04-27 22:00:00.000,mood,8
3708,AS14.24,2014-04-28 09:00:00.000,mood,6
3709,AS14.24,2014-04-28 12:00:00.000,mood,6
3710,AS14.24,2014-04-28 15:00:00.000,mood,7
3711,AS14.24,2014-04-28 19:00:00.000,mood,8
3712,AS14.24,2014-04-28 21:00:00.000,mood,7
3713,AS14.24,2014-04-29 09:00:00.000,mood,6
3714,AS14.24,2014-04-29 12:00:00.000,mood,6
3715,AS14.24,2014-04-29 15:00:00.000,mood,5
3716,AS14.24,2014-04-29 18:00:00.000,mood,7
3717,AS14.24,2014-04-30 10:00:00.000,mood,6
