time,variable,value
2014-03-15 13:00:00.000,mood,5
2014-03-15 15:00:00.000,mood,6
2014-03-27 12:00:00.000,mood,7
2014-03-27 15:00:00.000,mood,7
2014-03-27 17:00:00.000,mood,7
2014-03-27 21:00:00.000,mood,7
2014-03-28 10:00:00.000,mood,6
2014-03-28 12:00:00.000,mood,6
2014-03-28 14:00:00.000,mood,7
2014-03-28 20:00:00.000,mood,8
2014-03-29 10:00:00.000,mood,8
2014-03-29 15:00:00.000,mood,7
2014-03-29 18:00:00.000,mood,6
2014-03-29 21:00:00.000,mood,6
2014-03-30 11:00:00.000,mood,6
2014-03-30 11:00:00.000,mood,7
2014-03-30 14:00:00.000,mood,6
2014-03-30 17:00:00.000,mood,5
2014-03-30 20:00:00.000,mood,5
2014-03-31 10:00:00.000,mood,6
2014-03-31 12:00:00.000,mood,7
2014-03-31 14:00:00.000,mood,7
2014-03-31 17:00:00.000,mood,7
2014-03-31 21:00:00.000,mood,5
2014-04-01 10:00:00.000,mood,6
2014-04-01 11:00:00.000,mood,6
2014-04-01 14:00:00.000,mood,6
2014-04-01 17:00:00.000,mood,7
2014-04-01 21:00:00.000,mood,7
2014-04-02 10:00:00.000,mood,6
2014-04-02 12:00:00.000,mood,6
2014-04-02 14:00:00.000,mood,6
2014-04-02 17:00:00.000,mood,6
2014-04-02 22:00:00.000,mood,6
2014-04-03 09:00:00.000,mood,6
2014-04-03 12:00:00.000,mood,6
2014-04-03 14:00:00.000,mood,7
2014-04-03 18:00:00.000,mood,4
2014-04-03 23:00:00.000,mood,4
2014-04-04 13:00:00.000,mood,6
2014-04-04 15:00:00.000,mood,6
2014-04-04 18:00:00.000,mood,7
2014-04-04 21:00:00.000,mood,7
2014-04-05 09:00:00.000,mood,6
2014-04-05 12:00:00.000,mood,7
2014-04-05 15:00:00.000,mood,4
2014-04-05 18:00:00.000,mood,7
2014-04-05 21:00:00.000,mood,7
2014-04-06 10:00:00.000,mood,7
2014-04-06 12:00:00.000,mood,5
2014-04-06 19:00:00.000,mood,7
2014-04-06 20:00:00.000,mood,6
2014-04-07 09:00:00.000,mood,6
2014-04-07 13:00:00.000,mood,7
2014-04-07 15:00:00.000,mood,7
2014-04-07 18:00:00.000,mood,6
2014-04-07 21:00:00.000,mood,6
2014-04-08 13:00:00.000,mood,7
2014-04-08 15:00:00.000,mood,6
2014-04-08 18:00:00.000,mood,6
2014-04-08 21:00:00.000,mood,6
2014-04-09 11:00:00.000,mood,5
2014-04-09 12:00:00.000,mood,5
2014-04-09 14:00:00.000,mood,6
2014-04-09 18:00:00.000,mood,5
2014-04-10 08:00:00.000,mood,6
2014-04-10 12:00:00.000,mood,6
2014-04-10 15:00:00.000,mood,6
2014-04-10 18:00:00.000,mood,7
2014-04-10 22:00:00.000,mood,7
2014-04-11 10:00:00.000,mood,6
2014-04-11 11:00:00.000,mood,7
2014-04-11 15:00:00.000,mood,7
2014-04-11 17:00:00.000,mood,7
2014-04-11 21:00:00.000,mood,6
2014-04-12 11:00:00.000,mood,6
2014-04-12 12:00:00.000,mood,7
2014-04-12 15:00:00.000,mood,7
2014-04-12 18:00:00.000,mood,7
2014-04-12 20:00:00.000,mood,7
2014-04-13 10:00:00.000,mood,6
2014-04-13 12:00:00.000,mood,6
2014-04-13 14:00:00.000,mood,7
2014-04-13 18:00:00.000,mood,5
2014-04-13 20:00:00.000,mood,4
2014-04-14 09:00:00.000,mood,6
2014-04-14 12:00:00.000,mood,7
2014-04-14 14:00:00.000,mood,6
2014-04-14 18:00:00.000,mood,7
2014-04-14 20:00:00.000,mood,7
2014-04-15 11:00:00.000,mood,6
2014-04-15 12:00:00.000,mood,6
2014-04-15 14:00:00.000,mood,8
2014-04-15 18:00:00.000,mood,7
2014-04-15 20:00:00.000,mood,7
2014-04-16 12:00:00.000,mood,7
2014-04-16 15:00:00.000,mood,7
2014-04-16 18:00:00.000,mood,7
2014-04-16 21:00:00.000,mood,7
2014-04-17 10:00:00.000,mood,6
2014-04-17 12:00:00.000,mood,7
2014-04-17 15:00:00.000,mood,7
2014-04-17 18:00:00.000,mood,7
2014-04-17 21:00:00.000,mood,7
2014-04-18 10:00:00.000,mood,6
2014-04-18 11:00:00.000,mood,6
