,id,time,variable,value
844,AS14.06,2014-03-24 21:00:00.000,mood,7
845,AS14.06,2014-03-25 09:00:00.000,mood,8
846,AS14.06,2014-03-25 12:00:00.000,mood,8
847,AS14.06,2014-03-25 15:00:00.000,mood,6
848,AS14.06,2014-03-25 17:00:00.000,mood,7
849,AS14.06,2014-03-25 21:00:00.000,mood,6
850,AS14.06,2014-03-26 09:00:00.000,mood,8
851,AS14.06,2014-03-26 12:00:00.000,mood,7
852,AS14.06,2014-03-26 18:00:00.000,mood,8
853,AS14.06,2014-03-26 21:00:00.000,mood,9
854,AS14.06,2014-03-27 09:00:00.000,mood,7
855,AS14.06,2014-03-27 14:00:00.000,mood,6
856,AS14.06,2014-03-27 17:00:00.000,mood,8
857,AS14.06,2014-03-27 21:00:00.000,mood,7
858,AS14.06,2014-03-28 08:00:00.000,mood,8
859,AS14.06,2014-03-28 12:00:00.000,mood,9
860,AS14.06,2014-03-28 14:00:00.000,mood,7
861,AS14.06,2014-03-28 19:00:00.000,mood,7
862,AS14.06,2014-03-28 21:00:00.000,mood,7
863,AS14.06,2014-03-29 09:00:00.000,mood,9
864,AS14.06,2014-03-29 13:00:00.000,mood,8
865,AS14.06,2014-03-29 16:00:00.000,mood,7
866,AS14.06,2014-03-29 19:00:00.000,mood,7
867,AS14.06,2014-03-29 21:00:00.000,mood,8
868,AS14.06,2014-03-30 10:00:00.000,mood,8
869,AS14.06,2014-03-30 12:00:00.000,mood,8
870,AS14.06,2014-03-30 15:00:00.000,mood,8
871,AS14.06,2014-03-30 18:00:00.000,mood,8
872,AS14.06,2014-03-30 21:00:00.000,mood,7
873,AS14.06,2014-03-31 11:00:00.000,mood,7
874,AS14.06,2014-03-31 12:00:00.000,mood,7
875,AS14.06,2014-03-31 15:00:00.000,mood,7
876,AS14.06,2014-03-31 18:00:00.000,mood,6
877,AS14.06,2014-03-31 21:00:00.000,mood,8
878,AS14.06,2014-04-01 09:00:00.000,mood,7
879,AS14.06,2014-04-01 15:00:00.000,mood,7
880,AS14.06,2014-04-01 18:00:00.000,mood,8
881,AS14.06,2014-04-01 21:00:00.000,mood,9
882,AS14.06,2014-04-02 09:00:00.000,mood,7
883,AS14.06,2014-04-02 12:00:00.000,mood,7
884,AS14.06,2014-04-02 15:00:00.000,mood,6
885,AS14.06,2014-04-02 18:00:00.000,mood,7
886,AS14.06,2014-04-02 20:00:00.000,mood,7
887,AS14.06,2014-04-03 11:00:00.000,mood,6
888,AS14.06,2014-04-03 12:00:00.000,mood,8
889,AS14.06,2014-04-03 15:00:00.000,mood,7
890,AS14.06,2014-04-03 19:00:00.000,mood,8
891,AS14.06,2014-04-03 21:00:00.000,mood,7
892,AS14.06,2014-04-04 08:00:00.000,mood,7
893,AS14.06,2014-04-04 12:00:00.000,mood,6
894,AS14.06,2014-04-04 14:00:00.000,mood,6
895,AS14.06,2014-04-04 19:00:00.000,mood,8
896,AS14.06,2014-04-04 21:00:00.000,mood,8
897,AS14.06,2014-04-05 10:00:00.000,mood,7
898,AS14.06,2014-04-05 12:00:00.000,mood,7
899,AS14.06,2014-04-05 15:00:00.000,mood,8
900,AS14.06,2014-04-05 19:00:00.000,mood,6
901,AS14.06,2014-04-05 21:00:00.000,mood,7
902,AS14.06,2014-04-06 10:00:00.000,mood,7
903,AS14.06,2014-04-06 12:00:00.000,mood,6
904,AS14.06,2014-04-06 15:00:00.000,mood,7
905,AS14.06,2014-04-06 19:00:00.000,mood,7
906,AS14.06,2014-04-06 21:00:00.000,mood,8
907,AS14.06,2014-04-07 10:00:00.000,mood,5
908,AS14.06,2014-04-07 12:00:00.000,mood,5
909,AS14.06,2014-04-07 15:00:00.000,mood,6
910,AS14.06,2014-04-07 19:00:00.000,mood,7
911,AS14.06,2014-04-07 21:00:00.000,mood,8
912,AS14.06,2014-04-08 09:00:00.000,mood,5
913,AS14.06,2014-04-08 12:00:00.000,mood,5
914,AS14.06,2014-04-08 16:00:00.000,mood,7
915,AS14.06,2014-04-08 18:00:00.000,mood,7
916,AS14.06,2014-04-08 21:00:00.000,mood,9
917,AS14.06,2014-04-09 08:00:00.000,mood,9
918,AS14.06,2014-04-09 12:00:00.000,mood,7
919,AS14.06,2014-04-09 15:00:00.000,mood,7
920,AS14.06,2014-04-09 18:00:00.000,mood,7
921,AS14.06,2014-04-09 21:00:00.000,mood,7
922,AS14.06,2014-04-10 10:00:00.000,mood,7
923,AS14.06,2014-04-10 12:00:00.000,mood,8
924,AS14.06,2014-04-10 15:00:00.000,mood,8
925,AS14.06,2014-04-10 20:00:00.000,mood,8
926,AS14.06,2014-04-10 21:00:00.000,mood,7
927,AS14.06,2014-04-11 09:00:00.000,mood,8
928,AS14.06,2014-04-11 11:00:00.000,mood,7
