time,variable,value
2014-04-17 15:00:00.000,circumplex.valence,1
2014-04-17 18:00:00.000,circumplex.valence,2
2014-04-17 21:00:00.000,circumplex.valence,2
2014-04-18 09:00:00.000,circumplex.valence,1
2014-04-18 12:00:00.000,circumplex.valence,-1
2014-04-18 15:00:00.000,circumplex.valence,1
2014-04-18 18:00:00.000,circumplex.valence,1
2014-04-18 20:00:00.000,circumplex.valence,2
2014-04-19 15:00:00.000,circumplex.valence,2
2014-04-19 19:00:00.000,circumplex.valence,0
2014-04-19 20:00:00.000,circumplex.valence,1
2014-04-20 09:00:00.000,circumplex.valence,1
2014-04-20 12:00:00.000,circumplex.valence,1
2014-04-20 15:00:00.000,circumplex.valence,2
2014-04-20 18:00:00.000,circumplex.valence,1
2014-04-20 21:00:00.000,circumplex.valence,1
2014-04-21 11:00:00.000,circumplex.valence,-1
2014-04-21 12:00:00.000,circumplex.valence,1
2014-04-21 15:00:00.000,circumplex.valence,1
2014-04-21 18:00:00.000,circumplex.valence,1
2014-04-21 21:00:00.000,circumplex.valence,1
2014-04-22 09:00:00.000,circumplex.valence,0
2014-04-22 12:00:00.000,circumplex.valence,-1
2014-04-22 15:00:00.000,circumplex.valence,2
2014-04-22 18:00:00.000,circumplex.valence,-1
2014-04-22 21:00:00.000,circumplex.valence,-1
2014-04-23 10:00:00.000,circumplex.valence,0
2014-04-23 12:00:00.000,circumplex.valence,-1
2014-04-23 15:00:00.000,circumplex.valence,0
2014-04-23 18:00:00.000,circumplex.valence,-2
2014-04-23 22:00:00.000,circumplex.valence,0
2014-04-24 09:00:00.000,circumplex.valence,1
2014-04-24 12:00:00.000,circumplex.valence,1
2014-04-24 15:00:00.000,circumplex.valence,1
2014-04-24 23:00:00.000,circumplex.valence,1
2014-04-25 09:00:00.000,circumplex.valence,1
2014-04-25 12:00:00.000,circumplex.valence,2
2014-04-25 15:00:00.000,circumplex.valence,0
2014-04-25 18:00:00.000,circumplex.valence,1
2014-04-26 09:00:00.000,circumplex.valence,0
