time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-02-17,,,,,,18.0,,,,,,,,,,,,,
2014-02-18,,,,,,18.0,,,,,,,,,,,,,
2014-02-19,,,,,,45.0,9.0,,,,,,,,,,,,
2014-02-20,,,,,,18.0,3.0,,,,,,,,,,,,
2014-02-21,,,,,,21.0,3.0,,,,,,,,,,,,
2014-02-22,,,,,,3.0,,,,,,,,,,,,,
2014-02-23,,,,,,12.0,3.0,,,,,,,,,,,,
2014-02-24,,,,,,9.0,,,,,,,,,,,,,
2014-02-25,,,,,,24.0,,,,,,,,,,,,,
2014-02-26,,,,,,21.0,,,,,,,,,,,,,
2014-02-27,,,,,,9.0,,,,,,,,,,,,,
2014-02-28,,,,,,24.0,3.0,,,,,,,,,,,,
2014-03-01,,,,,,21.0,,,,,,,,,,,,,
2014-03-02,,,,,,,,,,,,,,,,,,,
2014-03-03,,,,,,27.0,,,,,,,,,,,,,
2014-03-04,,,,,,21.0,3.0,,,,,,,,,,,,
2014-03-05,,,,,,33.0,3.0,,,,,,,,,,,,
2014-03-06,,,,,,24.0,3.0,,,,,,,,,,,,
2014-03-07,,,,,,48.0,,,,,,,,,,,,,
2014-03-08,,,,,,21.0,,,,,,,,,,,,,
2014-03-09,,,,,,,6.0,,,,,,,,,,,,
2014-03-10,,,,,,9.0,,,,,,,,,,,,,
2014-03-11,,,,,,18.0,,,,,,,,,,,,,
2014-03-12,,,,,,18.0,,,,,,,,,,,,,
2014-03-13,,,,,,18.0,,,,,,,,,,,,,
2014-03-14,,,,,,27.0,,,,,,,,,,,,,
2014-03-15,,,,,,6.0,,,,,,,,,,,,,
2014-03-16,,,,,,15.0,,,,,,,,,,,,,
2014-03-17,,,,,,3.0,,,,,,,,,,,,,
2014-03-18,,,,,,12.0,,,,,,,,,,,,,
2014-03-19,,,,,,21.0,,,,,,,,,,,,,
2014-03-20,,,,,,33.0,,,,,,,,,,,,,
2014-03-21,,,,,,18.0,,,,,,,,,,,,,
2014-03-22,,,,,,3.0,6.0,,,,,,,,,,,,
2014-03-23,,,,,,6.0,,,,,,,,,,,,,
2014-03-24,,,,,,3.0,,,,,,,,,,,,,
2014-03-25,,,,,,15.0,,,,,,,,,,,,,
2014-03-26,,,,,,27.0,,,,,,,,,,,,,
2014-03-27,,,,,,12.0,3.0,,,,,,,,,,,,
2014-03-28,,,,,,15.0,,,,,,,,,,,,,
2014-03-29,,,,,,6.0,3.0,,,,,,,,,,,,
2014-03-30,,,,,,3.0,,,,,,,,,,,,,
2014-03-31,,,,,,18.0,3.0,,,,,,,,,,,,
2014-04-01,8.0,-1.0,1.5,,8147.225997447971,12.0,,777.2819999999998,4849.2119999999995,1903.4370000000006,,,93.381,795.5759999999999,39.59700000000001,,,,
2014-04-02,7.0,,,0.16493096458489534,18840.422995090496,15.0,6.0,1672.317,6263.997000000001,7870.913999999999,,,162.777,248.94600000000003,,,,,
2014-04-03,8.0,-0.25,0.5,0.11351887500281604,14777.58299589157,6.0,3.0,935.3310000000001,8738.826000000006,14785.004999999992,,,174.51,340.2149999999999,,957.6510000000003,,,
2014-04-04,8.0,-0.5,0.5,0.07394992125320082,15710.868004560474,3.0,12.0,944.3400000000001,9928.940999999992,1624.5720000000017,,,,173.727,183.97199999999998,,,15.072,
2014-04-05,8.4,1.4,1.4,0.06235701481564244,11324.59799981117,15.0,,3244.293000000002,4487.075999999998,2580.1980000000017,,,,393.16200000000003,596.3639999999999,,,,
2014-04-06,7.6,-1.4,,0.06470613484339814,14691.173994541172,3.0,12.0,1764.2490000000003,8035.727999999997,3503.2859999999982,,,,209.421,566.7149999999999,731.9130000000001,,30.086999999999996,
2014-04-07,7.0,-0.5,-0.5,0.08243160865190324,16166.877000331879,33.0,24.0,5269.458000000002,7608.231000000004,3633.3389999999986,,,,156.53699999999998,,270.29100000000005,,,67.29299999999999
2014-04-08,7.8,0.4,0.2,0.07162504736842974,12535.962004423138,3.0,,2002.8299999999988,8018.0700000000015,4021.5360000000014,,,,196.704,145.73699999999997,,,,
2014-04-09,7.333333333333333,0.3333333333333333,,0.08153097175156003,12372.48600053787,45.0,6.0,3836.724000000004,6352.493999999996,7515.5940000000055,,,,78.528,,256.89300000000003,,,
2014-04-10,8.25,0.25,0.75,0.08538139252507379,13968.884998798369,6.0,,505.08300000000014,9714.231000000014,2533.2119999999973,,,,253.06799999999998,1014.015,,,,
2014-04-11,7.666666666666667,0.3333333333333333,0.3333333333333333,0.1336439448450949,12373.628997802733,18.0,3.0,4330.307999999999,6038.760000000002,1597.016999999997,,,,294.2639999999999,,343.25399999999996,,39.354,
2014-04-12,8.6,0.2,0.8,0.09256127414546693,7219.344000577927,15.0,6.0,1140.603,4116.410999999998,1516.1790000000015,,,,148.509,277.212,,,,
2014-04-13,8.0,-1.8,0.6,0.1148681263077696,9145.469996452332,18.0,,568.0169999999999,4562.232,1983.4229999999998,,,,247.77299999999994,1429.098,97.815,,,
2014-04-14,7.5,0.5,0.5,0.09276472686682137,19576.421996355068,9.0,,4555.899000000002,10630.878000000012,1863.5129999999988,,,,162.31200000000004,,96.63,,,
2014-04-15,8.0,,0.5,0.12035484073371025,15061.190999507897,24.0,6.0,1905.9089999999992,5855.537999999999,3108.509999999998,,,,382.41600000000005,,,,,
2014-04-16,8.5,0.75,0.75,0.13353057634705048,12738.698999404907,21.0,,3690.3479999999977,6035.247,6546.420000000003,,,,143.229,1089.471,731.7869999999997,,,
2014-04-17,8.5,0.5,0.5,0.06720556162513884,13020.615002632148,12.0,,4394.906999999998,3767.2949999999983,3150.828000000005,,,,51.58500000000001,,448.03800000000007,,,
2014-04-18,7.0,-1.0,1.0,0.13305988826478965,25170.53399991989,6.0,3.0,2963.2830000000013,6863.870999999997,10525.881000000008,,,,390.34199999999987,479.184,301.005,,,
2014-04-19,,,,0.04756789766998482,3830.0429999828325,6.0,,1802.3219999999992,1123.017,324.4410000000001,,,,,560.9939999999999,,,,
2014-04-20,,,,0.05523183859008616,7698.59100008011,,,439.41600000000005,4951.152000000001,676.1010000000001,,,,18.366000000000003,,,,,
2014-04-21,7.0,-1.75,-0.25,0.02986005544211627,12693.120000600815,3.0,,471.46199999999993,10639.739999999994,940.4130000000006,,,,135.423,,,,,
2014-04-22,,,,0.12540065280144738,20203.721999645215,9.0,,2038.3619999999983,7819.197000000002,2220.4590000000003,,,,,1785.1019999999999,507.5909999999999,,,
2014-04-23,7.0,-0.2,,0.112518103700037,16784.12099719047,9.0,3.0,2736.492000000001,5723.622000000004,2473.4909999999977,,,,865.0170000000003,318.81899999999996,538.014,,,
2014-04-24,8.0,,0.5,0.06199745012223152,14823.644997596737,27.0,,3785.4300000000007,8362.895999999999,1239.4440000000002,,,,78.84,337.02,72.798,,,
2014-04-25,8.0,,1.0,0.1335020997565428,56364.477001905456,18.0,3.0,3293.108999999998,10136.09699999999,1953.7439999999995,,,,709.1609999999997,1049.118,398.55,,,
2014-04-26,,,,0.18462745393003585,6990.671999931338,,,,5754.957000000002,2370.183000000001,,,,,,,,,
2014-04-27,7.0,-0.5,,0.048276516311677155,15423.101998329152,12.0,,4196.936999999998,3195.8160000000016,1939.4909999999986,,,,50.133,1209.627,,,1342.254,
2014-04-28,7.5,0.25,0.25,0.0637138579388094,21266.0879995823,21.0,,6927.551999999995,7854.182999999999,14890.494000000002,,,,94.617,,211.26899999999998,,,
2014-04-29,8.0,1.0,0.6666666666666666,0.10983779706651797,7694.561998844151,15.0,,279.477,6007.302000000008,1520.676000000001,,,,307.7430000000001,,,,,
2014-04-30,7.0,,0.6666666666666666,0.08127054335940001,22864.196999073036,18.0,9.0,1446.375,5366.366999999998,1955.4149999999995,,,,127.73400000000002,,310.46999999999997,,,
2014-05-01,7.0,-1.0,,0.14797013361832315,11789.906998157501,27.0,,1633.1430000000016,8493.888000000003,2591.487000000005,,,,122.1,,,,,
2014-05-02,7.25,-0.25,,0.09364718407023619,10865.979002952576,30.0,,1756.1369999999997,6684.615,2278.6020000000008,,,,120.78,,269.865,,,
2014-05-03,7.5,-1.0,0.5,0.08217935897341169,6629.369999170302,6.0,,818.6700000000004,5153.397000000003,598.3079999999999,,,,48.333000000000006,,,,,
2014-05-04,8.666666666666666,0.3333333333333333,1.0,0.11628094765606733,12047.651998758314,3.0,3.0,1170.4950000000001,7817.136000000003,710.2169999999996,,,,498.87600000000003,1290.2820000000002,,,,
2014-05-05,7.0,-0.5,,0.03508934036636399,17279.262000560757,63.0,,4683.209999999999,10978.775999999983,6496.281000000008,,,,106.362,1025.7990000000002,,,,
2014-05-06,,,,0.13699520686156688,11860.205999135971,27.0,,1806.183,10199.919,3089.2080000000046,,,,211.22699999999995,,,,,
2014-05-07,6.0,-1.0,-0.25,0.06833858284161863,10117.334996938707,12.0,,2177.157,6083.492999999997,1767.2849999999994,,,,139.10100000000003,3.0210000000000004,341.0789999999999,,,
2014-05-08,6.0,-1.0,-0.25,0.11164228256716863,15379.94400143623,39.0,6.0,7529.811000000005,10974.465000000007,1463.1060000000004,,,,199.14000000000004,,,,,
2014-05-09,7.75,-0.25,0.75,0.07747990835600946,15453.587993144993,27.0,,3531.992999999998,6914.760000000002,3431.477999999999,,,,97.21800000000003,,1727.001,,,
2014-05-10,7.25,-0.75,0.5,0.13163296857853624,14375.562001705171,18.0,,2245.1010000000006,8887.943999999998,9630.677999999996,,,,157.55100000000002,5643.464999999999,1999.7369999999996,,,
2014-05-11,7.2,-1.4,0.2,0.09932764876165293,6351.159001350403,18.0,,1211.958,3867.5909999999994,1254.342,,,18.108,665.3460000000002,,,,,
2014-05-12,7.2,-0.6,0.2,0.11047802993722843,2477.2919991016406,,,,1656.6899999999998,822.8249999999994,,,,58.635,,,,,
2014-05-13,,,,0.09025387263339067,1421.1149997711182,,,707.8259999999997,1147.404,158.391,,,,,,,,,
2014-05-14,,,,0.16435389734358802,2109.947999238967,,,647.1690000000001,1126.827,333.6210000000001,,,,,,,,,
