time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-04-01,8.0,-1.0,1.5,,2715.7419991493234,4.0,,259.094,1616.4040000000002,634.4789999999998,,,31.127,265.192,13.199000000000002,,,,
2014-04-02,7.0,,,0.16493096458489534,6280.1409983634985,5.0,2.0,557.439,2087.999,2623.638,,,54.25899999999999,82.98200000000001,,,,,
2014-04-03,8.0,-0.25,0.5,0.11351887500281604,4925.860998630525,2.0,1.0,311.7770000000002,2912.9420000000005,4928.335000000005,,,58.17,113.405,,319.217,,,
2014-04-04,8.0,-0.5,0.5,0.07394992125320084,5236.956001520158,1.0,4.0,314.7800000000001,3309.6470000000013,541.5240000000001,,,,57.909,61.324,,,5.024,
2014-04-05,8.4,1.4,1.4,0.06235701481564245,3774.8659999370575,5.0,,1081.4309999999996,1495.6919999999998,860.066,,,,131.054,198.788,,,,
2014-04-06,7.6,-1.4,,0.06470613484339814,4897.05799818039,1.0,4.0,588.0830000000001,2678.5759999999996,1167.7620000000004,,,,69.807,188.905,243.97099999999998,,10.029,
2014-04-07,7.0,-0.5,-0.5,0.08243160865190323,5388.959000110626,11.0,8.0,1756.4860000000006,2536.077,1211.1129999999996,,,,52.178999999999995,,90.097,,,22.431
2014-04-08,7.8,0.4,0.2,0.07162504736842977,4178.654001474381,1.0,,667.6100000000001,2672.6900000000005,1340.5120000000002,,,,65.568,48.57899999999999,,,,
2014-04-09,7.333333333333332,0.3333333333333333,,0.08153097175156,4124.1620001792935,15.0,2.0,1278.9080000000001,2117.498000000001,2505.198000000001,,,,26.176,,85.631,,,
2014-04-10,8.25,0.25,0.75,0.08538139252507375,4656.294999599456,2.0,,168.361,3238.077,844.4039999999997,,,,84.35600000000002,338.005,,,,
2014-04-11,7.666666666666668,0.3333333333333333,0.3333333333333333,0.13364394484509495,4124.542999267578,6.0,1.0,1443.436,2012.92,532.3389999999998,,,,98.088,,114.418,,13.118,
