"time", "mood", "circumplex.arousal", "circumplex.valence", "activity", "screen", "call", "sms", "appCat.builtin", "appCat.communication", "appCat.entertainment", "appCat.office", "appCat.other", "appCat.social", "appCat.travel", "appCat.unknown", "appCat.utilities", "day_0", "day_1", "day_2", "day_3", "day_4", "day_5", "day_6"
2014-03-14, 6.5, -0.25, 0.5, 0.28125, 729.1380007267, 15, 3, 808.203, 105.483, 15.057, 9.03, 517.581, 148.839, 584.64, 0, 144.687, 0, 0, 0, 0, 1, 0, 0
2014-03-15, 6.75, 0.75, 0.5, 0.04, 495.051000595093, 24, 3, 121.299, 373.035, 117.543, 64.392, 33.231, 327.693, 283.656, 0, 144.687, 0, 0, 0, 0, 0, 1, 0
2014-03-16, 6.16666666666667, -0.666666666666667, 0.333333333333333, 0.118737145207733, 14846.0189981461, 3, 3, 4047.165, 3502.71, 1243.731, 978.63, 30.306, 148.839, 283.656, 0, 144.687, 0, 0, 0, 0, 0, 0, 1
2014-03-17, 6.4, 0.75, 0.5, 0.0710591929079324, 2.08499979972839, 24, 12, 19.932, 9.048, 117.543, 27.117, 24.093, 166.098, 584.64, 0, 51.246, 1, 0, 0, 0, 0, 0, 0
2014-03-18, 7.2, 0.4, 1.2, 0.118737145207733, 9643.88699984551, 21, 9, 4047.165, 5342.241, 15.057, 135.558, 162.768, 166.098, 283.656, 0, 51.246, 0, 1, 0, 0, 0, 0, 0
2014-03-19, 7.4, 0.2, 1.2, 0.0087719298245614, 4274.54699850082, 15, 21, 1767.897, 2670.414, 15.057, 27.192, 4721.775, 327.693, 283.656, 0, 51.246, 0, 0, 1, 0, 0, 0, 0
2014-03-20, 7, 0.6, 1, 0.0297619047619047, 3919.85099887848, 15, 21, 1377.882, 2541.741, 1092.312, 84.729, 4721.775, 190.08, 186.897, 0, 51.246, 0, 0, 0, 1, 0, 0, 0
2014-03-21, 7, 0.2, 0.8, 0.0692239858906526, 2460.35999965668, 15, 6, 2880.324, 585.66, 1243.731, 9.03, 42.351, 327.693, 584.64, 0, 144.687, 0, 0, 0, 0, 1, 0, 0
2014-03-22, 7, -0.4, 1, 0.0710591929079324, 1075.77900123596, 15, 3, 767.424, 241.53, 15.057, 135.558, 66.51, 190.08, 69.309, 0, 51.246, 0, 0, 0, 0, 0, 1, 0
2014-03-23, 7, 0.2, 1, 0.144927536231884, 1687.32600045204, 12, 12, 88.773, 1568.154, 1243.731, 135.558, 30.306, 708.591, 310.899, 0, 144.687, 0, 0, 0, 0, 0, 0, 1
