"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
"2014-03-21",4.6666666667,0.6666666667,0.6666666667,0.1096550179,20799.1740002632,9,3,5977.728,14718.267,1639.47,0,351.207,15.111,714.651,9.111,10.959,0,0,0,0,1,0,0
"2014-03-22",6.6,-1.4,0.4,0.0865792686,14268.1470015049,21,3,9731.433,5528.724,255.828,0,1440.09,214.839,186.324,26.466,160.026,0,0,0,0,0,1,0
"2014-03-23",7,-0.8,0.8,0.0294604387,2988.962996006,12,6,1717.377,756.507,78.375,0,312.126,202.857,778.374,9.087,10.959,0,0,0,0,0,0,1
"2014-03-24",6,-0.4,0.4,0.1138894461,6429.8970029354,15,3,1153.671,10303.332,78.375,0,160.233,680.628,778.374,26.466,10.959,1,0,0,0,0,0,0
"2014-03-25",5.5,-1.25,0.25,0.1132516067,14367.047996521,36,3,3157.023,11792.211,727.554,0,162.909,15.111,186.324,6.018,10.959,0,1,0,0,0,0,0
"2014-03-26",6,-0.6,0.4,0.1089148261,13240.1939985752,18,3,2733.339,9925.641,78.375,0,148.596,419.238,186.324,6.018,160.026,0,0,1,0,0,0,0
"2014-03-27",6.6,-1.25,0.6,0.1322046085,10786.394995451,21,3,2640.501,6495.351,727.554,0,142.803,571.197,186.324,200.571,160.026,0,0,0,1,0,0,0
"2014-03-28",6.6,-0.6,1.2,0.148872265,8193.4769976139,24,3,2554.113,3664.638,1688.547,0,191.001,78.84,186.324,12.141,10.959,0,0,0,0,1,0,0
"2014-03-29",7.4,0.2,1.2,0.13795426,5258.8409993649,30,6,1824.969,2887.8,255.828,0,286.752,160.11,714.651,6.018,10.959,0,0,0,0,0,1,0
"2014-03-30",7,-0.4,0.8,0.0645236704,3074.1509993076,15,3,8633.754,2071.308,15.375,0,150.804,571.197,186.324,6.018,160.026,0,0,0,0,0,0,1
"2014-03-31",7.2,-0.4,1,0.1301209995,18574.7159986496,18,3,2572.602,15626.823,15.375,0,134.001,76.407,714.651,126.846,10.959,1,0,0,0,0,0,0
"2014-04-01",6.4,-1.4,0.2,0.1334668293,10711.4130027294,3,3,1774.503,14247.645,78.375,0,148.281,1112.97,714.651,26.466,10.959,0,1,0,0,0,0,0
"2014-04-02",7.6,-0.2,1,0.0771635549,5565.8250010014,9,3,1755.201,3545.511,15.375,0,123.579,143.151,186.324,12.141,10.959,0,0,1,0,0,0,0
"2014-04-03",6.6,-1.5,0.6,0.0730771475,9393.0690014362,6,3,1963.422,7299.348,78.375,0,127.122,1004.994,186.324,12.141,10.959,0,0,0,1,0,0,0
"2014-04-04",7,-0.2,0.4,0.157021154,11848.0020024776,33,3,4411.545,6341.031,1688.547,0,587.097,658.218,778.374,9.087,160.026,0,0,0,0,1,0,0
"2014-04-05",8,-0.6,1.2,0.135955766,6642.3720023632,33,3,1929.846,3268.677,78.375,0,196.146,160.11,186.324,126.846,160.026,0,0,0,0,0,1,0
"2014-04-06",7.25,-1.25,1,0.0942241064,7416.7259995937,24,3,2292.255,4974.645,1639.47,0,147.831,184.386,186.324,12.141,10.959,0,0,0,0,0,0,1
"2014-04-07",6.6,-1,0.6,0.1834349291,11505.1260073185,33,3,4518.57,8986.716,727.554,0,190.749,643.74,186.324,26.037,160.026,1,0,0,0,0,0,0
"2014-04-08",6.8,-0.4,1,0.0890627979,8710.3590016365,24,6,2983.584,5775.213,1688.547,0,118.185,143.151,714.651,26.466,160.026,0,1,0,0,0,0,0
"2014-04-09",7.2,-0.4,0.8,0.1175651289,9155.9460046291,24,3,1567.545,7401.318,1688.547,0,181.887,1167.075,714.651,6.018,160.026,0,0,1,0,0,0,0
"2014-04-10",6.75,-0.5,0.75,0.072801211,3142.1850020886,12,3,9620.418,1293.342,255.828,0,96.843,202.842,186.324,200.571,10.959,0,0,0,1,0,0,0
"2014-04-11",6.8,-0.6,1,0.1110938995,8324.4060037136,18,3,3005.898,4995.714,1639.47,0,127.326,184.386,778.374,126.846,160.026,0,0,0,0,1,0,0
"2014-04-12",7.2,0.2,0.8,0.0660549734,5530.7759993076,18,3,2185.008,2934.66,727.554,0,136.386,1167.075,186.324,26.037,160.026,0,0,0,0,0,1,0
"2014-04-13",7.2,-0.6,1,0.1136744944,4519.220995903,18,3,1010.808,2638.545,78.375,0,184.752,680.628,778.374,6.018,160.026,0,0,0,0,0,0,1
"2014-04-14",7,0.4,0.8,0.1459290212,15005.8949975967,45,3,8923.443,11301.78,1639.47,0,205.914,625.575,778.374,126.846,10.959,1,0,0,0,0,0,0
"2014-04-15",6.4,-1,1,0.1307656396,12847.9350020885,12,6,2205.816,10210.056,1639.47,0,340.038,57.606,186.324,38.013,10.959,0,1,0,0,0,0,0
"2014-04-16",6.8,-0.6,1,0.0772135417,5615.7300009728,12,3,654.471,21495.462,78.375,0,171.996,1064.187,714.651,26.037,160.026,0,0,1,0,0,0,0
"2014-04-17",6.8,-0.8,1,0.1014676704,14297.9159953594,3,3,503.298,16132.893,1688.547,0,142.56,293.841,778.374,38.013,160.026,0,0,0,1,0,0,0
