"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
2014-04-15,6,0.25,0.5,0.0885416666666666,5399.69099879265,3,3,361.995,1786.896,3128.391,446.328,525.057,39.927,33.831,54.999,129.072,974.106,15.321,15.096,0,1,0,0,0,0,0
2014-04-16,5.5,-0.5,-0.25,0.0155844155844156,1766.34600090981,3,3,30.363,788.517,1258.476,71.247,525.057,3.036,88.836,327.6,1729.149,454.923,177.786,152.01,0,0,1,0,0,0,0
2014-04-17,7,0.75,0.75,0.11045653907496,6634.34400129318,3,3,94.788,3804.111,1955.994,109.536,242.976,217.056,96.777,54.999,129.072,454.923,15.321,52.299,0,0,0,1,0,0,0
2014-04-18,6.6,-1.2,0.6,0.114738292011019,7092.48600053787,6,3,390.273,1549.485,4466.076,240.657,525.057,217.056,36.159,114.351,66.381,324.093,9.033,15.096,0,0,0,0,1,0,0
2014-04-19,8,0.25,1,0.113149350649351,5689.43099713326,9,3,39.471,2284.482,1752.741,109.536,242.976,12.084,62.409,109.428,1426.158,90.78,212.916,152.01,0,0,0,0,0,1,0
2014-04-20,6.25,-1,0.25,0.0415482954545454,1263.24300098419,3,3,6.036,744.63,626.91,318.36,242.976,6.339,36.159,803.676,183.984,12.294,3.024,271.056,0,0,0,0,0,0,1
2014-04-21,6.5,-1,0.5,0.0153093434343434,2544.40199947357,6,6,200.178,200.337,1664.646,98.658,525.057,217.056,49.017,588.813,473.106,324.093,6.615,9.06,1,0,0,0,0,0,0
2014-04-22,6.6,-0.2,0.4,0.0643939393939394,7837.19399857521,45,3,2443.047,2507.766,4280.805,109.536,525.057,12.273,158.256,79.404,4526.313,974.106,177.294,15.096,0,1,0,0,0,0,0
2014-04-23,6.33333333333333,-0.333333333333333,0.333333333333333,0.0392203282828283,8775.88199901581,6,6,2432.196,2295.36,3601.236,213.981,242.976,12.12,71.295,84.405,751.647,90.78,6.615,271.056,0,0,1,0,0,0,0
2014-04-24,7.2,0.2,1,0.0420328282828283,2291.51099896431,15,3,70.176,908.937,1267.635,446.328,242.976,6.339,21.255,803.676,12.072,12.294,6.057,15.096,0,0,0,1,0,0,0
2014-04-25,7.25,0.25,1,0.115814393939394,3791.26500248909,3,3,12.069,1932.804,2929.944,143.667,242.976,217.056,76.539,327.6,473.106,213.78,9.033,42.198,0,0,0,0,1,0,0
2014-04-26,8,0.2,1,0.11026936026936,5392.03500008583,3,6,224.196,3155.166,1213.56,609.765,242.976,3.012,116.325,24.678,1729.149,51.576,227.997,76.386,0,0,0,0,0,1,0
2014-04-27,6.25,-1,0.25,0.0333333333333333,1263.24300098419,3,3,94.788,200.337,1664.646,318.36,525.057,217.056,49.017,327.6,580.764,90.78,9.033,42.198,0,0,0,0,0,0,1
2014-04-29,6.75,-0.5,0.5,0.11026936026936,5392.03500008583,9,3,2443.047,2371.956,3601.236,446.328,242.976,12.075,158.256,24.678,825.006,240.741,3.009,271.056,0,1,0,0,0,0,0
2014-04-30,7,-0.5,0.75,0.115814393939394,1766.34600090981,3,3,200.178,744.63,2929.944,143.667,242.976,3.012,36.159,101.49,1729.149,51.576,177.294,152.01,0,0,1,0,0,0,0
2014-05-01,7.5,-0.25,0.75,0.0822916666666667,20426.7149984837,15,6,2443.047,8061.165,3203.205,71.247,525.057,18.288,148.527,24.678,233.16,12.294,6.06,152.01,0,0,0,1,0,0,0
2014-05-03,7.75,0.25,0.75,0.0415482954545454,26007.8729968071,3,3,1529.913,9455.403,8408.14199999999,184.047,242.976,39.927,205.197,321.294,129.072,974.106,9.162,76.386,0,0,0,0,0,1,0
2014-05-04,6.6,0.2,0.4,0.0643939393939394,8775.88199901581,9,3,3907.227,3155.166,7320,480.573,242.976,12.084,88.836,103.113,183.984,974.106,9.033,42.198,0,0,0,0,0,0,1
2014-05-05,6,-1,0.5,0.180902777777778,2544.40199947357,3,3,30.363,1510.371,4342.368,609.765,242.976,3.096,158.256,79.404,1044.486,213.78,6.615,271.056,1,0,0,0,0,0,0
