"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
2014-03-20,7,0.333333333333333,1,0.0822704081632655,19921.9290010929,6,6,1994.598,6033.909,5790.183,115.653,27.372,684.414,1066.344,2334.228,6.03,88.119,93.465,292.515,0,0,0,1,0,0,0
2014-03-21,7.8,-0.4,1.2,0.212259468114731,29476.9919979572,9,6,2835.438,9326.424,12846.258,621.033,3207.573,778.206,1406.319,5056.302,6.03,185.4,261.645,9.024,0,0,0,0,1,0,0
2014-03-22,7.6,-0.8,1,0.220790671008433,43573.805999279,18,3,3887.535,25790.889,6154.59,126.738,283.797,108.726,3279.054,5711.841,775.125,216.984,223.302,24.096,0,0,0,0,0,1,0
2014-03-23,7.8,-0.6,1,0.121258611394774,48091.6409976482,6,3,2795.271,14801.151,17025.198,1115.571,1621.848,141.846,2386.131,9524.607,389.037,154.227,229.248,1100.811,0,0,0,0,0,0,1
2014-03-24,7.8,-0.2,1,0.144073734519211,47190.0659995079,9,3,3519.846,18270.384,8879.802,582.216,1621.848,412.35,4148.715,10665.168,9.033,45.327,283.485,45.21,1,0,0,0,0,0,0
2014-03-25,8,-0.2,1,0.134146783713485,47570.343003273,6,6,5328.15000000001,27495.597,9173.832,76.287,3158.805,15.552,1633.905,6339.018,389.037,87.591,174.849,1100.811,0,1,0,0,0,0,0
2014-03-26,6.8,0.2,0.6,0.200921262512714,60966.6750011444,45,6,4308.01800000001,23206.299,8307.519,126.738,27.372,778.206,3428.001,9540.576,153.204,407.271,174.723,18.261,0,0,1,0,0,0,0
2014-03-27,7.75,-0.75,1,0.160133293806911,53512.7910003662,6,6,4131.735,25857.177,10903.665,39.171,3158.805,108.726,769.293,11651.472,233.253,523.344,542.382,45.21,0,0,0,1,0,0,0
2014-03-28,7.8,-1,1,0.248407170035962,53016.267002821,6,6,4261.82100000001,23032.218,6377.319,39.264,2350.968,205.569,1192.272,6166.257,79.797,857.994,202.353,18.261,0,0,0,0,1,0,0
2014-03-29,8.4,-1.4,1,0.132524373975124,52424.6160020828,6,15,2236.878,28301.988,14855.238,171.792,4885.035,675.441,315.621,5174.244,79.797,185.4,188.475,45.21,0,0,0,0,0,1,0
2014-03-30,7.6,-1.2,1,0.112650091108903,35100.4140036106,18,6,2822.265,13996.131,10123.857,232.314,1436.478,132.738,574.911,6551.562,775.125,295.194,139.137,3.021,0,0,0,0,0,0,1
2014-03-31,7.6,-0.8,1,0.234519508554321,38915.4330010414,3,6,2482.479,28314.198,4161.297,63.447,78.567,326.163,754.32,3026.13,153.204,557.253,125.31,3.021,1,0,0,0,0,0,0
2014-04-01,7.8,-1.2,1.2,0.157150081085066,38644.8509981632,18,6,14471.676,13722.261,15654.018,171.792,534.354,778.206,1116.588,3523.14,84.825,507.729,88.578,21.078,0,1,0,0,0,0,0
2014-04-02,7.6,-0.6,0.6,0.163744398036123,27221.3249952793,18,9,1972.449,11780.727,8091.009,39.144,1932.33,778.206,2731.296,2125.173,153.939,33.282,40.743,1100.811,0,0,1,0,0,0,0
2014-04-03,8,0.2,1,0.125172889022323,43378.5990028381,3,9,4540.665,11118.918,16545.705,121.47,4416.498,315.084,1910.187,8833.686,6.03,900.663,165.924,45.21,0,0,0,1,0,0,0
2014-04-04,7.8,-1.2,1,0.142540313587564,46915.2690002918,9,6,4879.32899999999,14943.795,14609.469,1115.571,7635.645,15.552,1196.181,4366.686,221.538,214.239,366.108,21.078,0,0,0,0,1,0,0
2014-04-05,8,-0.8,1,0.067549336628284,28089.3899974823,6,6,3159.153,5736.381,12150.024,63.447,1436.478,30.219,914.025,3757.143,427.968,653.742,220.461,45.21,0,0,0,0,0,1,0
2014-04-06,8,-1.2,1,0.0910381678849412,30957.1860015392,6,3,3476.238,5739.012,11104.827,60.198,5801.937,141.846,748.716,3262.248,389.037,13.11,6.039,292.515,0,0,0,0,0,0,1
2014-04-07,7.6,-0.8,1,0.121952154706541,48933.7860031128,12,6,6088.84799999999,27385.755,8272.038,92.733,2350.968,132.738,1201.884,2943.588,491.274,1094.649,96.528,224.658,1,0,0,0,0,0,0
2014-04-08,7.8,-0.6,1,0.159022545839376,48325.1939957142,6,3,11197.887,21345.417,9481.521,102.654,4416.498,684.414,2331.276,4096.503,9.033,6.048,525.894,21.078,0,1,0,0,0,0,0
2014-04-09,7.75,-0.5,1,0.16093566148462,54704.3339960575,9,15,6732.63900000001,17676.519,12536.649,232.314,7635.645,12.033,3158.886,4591.326,427.968,54.828,87.489,224.658,0,0,1,0,0,0,0
2014-04-10,8.2,-1,1,0.133553242156183,34205.5050029755,6,6,2184.513,11056.044,11828.103,60.198,3158.805,108.726,1219.014,4243.815,233.253,653.742,204.996,9.024,0,0,0,1,0,0,0
2014-04-11,7.66666666666667,-0.666666666666667,0.666666666666667,0.146759814098917,58145.7419986725,12,6,6438.14700000001,29968.95,8946.087,92.733,7707.987,412.35,1141.005,5540.415,153.939,271.935,273.645,24.096,0,0,0,0,1,0,0
2014-04-12,7.8,-1,1.2,0.0613341448900888,35337.5910029411,6,3,3280.587,9682.161,8657.979,60.198,8197.227,326.163,453.918,5362.608,9.033,185.4,24.135,3.021,0,0,0,0,0,1,0
2014-04-13,7.2,-1.6,1,0.0788828434437322,30342.9359979629,3,3,2725.506,5647.02,11018.343,72.321,5800.719,141.846,649.353,4640.817,391.992,653.742,133.224,24.096,0,0,0,0,0,0,1
2014-04-14,7.75,-0.25,1,0.170820343102443,36448.0050008297,6,9,3523.527,17671.752,7786.905,36.39,2028.435,30.219,504.969,4818.159,389.037,4197.951,167.4,69.099,1,0,0,0,0,0,0
