time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-03-14,,,,,1605.1650004386904,6.0,,157.95299999999997,1025.0309999999997,160.45800000000003,,,,223.08700000000002,28.631,,,,
2014-03-15,,,,,5309.255001068115,7.0,,2421.108999999999,2198.7030000000004,351.694,,,,,,125.70000000000002,,,
2014-03-16,6.333333333333332,,,,4902.626999616626,4.0,1.0,2437.0460000000007,3151.829,88.39200000000002,,,,408.1059999999998,181.59099999999998,,,,
2014-03-17,6.75,0.5,0.5,0.16806841495032573,10159.769001245491,4.0,,1229.3469999999995,4518.116000000002,2511.178,,,,103.69899999999998,103.028,,,,
2014-03-18,8.2,0.6,0.8,0.2194843842554376,4512.471001386642,15.0,1.0,2604.5209999999993,3933.0809999999988,88.943,,,,88.72200000000002,212.36399999999998,,,,
2014-03-19,6.8,0.4,0.4,0.31563175685064315,8182.7570002079065,5.0,1.0,1554.558,2596.988999999999,196.13899999999995,,,,105.536,47.815,567.1649999999997,,,
2014-03-20,7.25,-0.5,0.75,0.2390249602103473,4360.33400130272,10.0,1.0,1777.9770000000005,2154.371,148.18,,,,86.85700000000001,131.59799999999998,,,,
2014-03-21,7.5,-0.75,0.75,0.2896279249001075,11155.850999116892,10.0,1.0,2230.3030000000017,2858.446000000001,459.60400000000004,,,,37.944,388.021,442.296,,,
2014-03-22,6.5,-1.0,-0.5,0.44604368683290135,7589.562002897264,25.0,1.0,1930.2659999999994,1852.2560000000005,662.9110000000002,,,,43.20399999999999,408.667,780.617,,,
2014-03-23,6.25,-1.0,,0.2696971570335323,4528.527000665666,8.0,1.0,894.5060000000001,1839.8989999999994,388.098,,,,61.865,171.99400000000003,1263.1889999999999,,,
2014-03-24,6.4,0.2,-0.2,0.15612466250149995,2766.6489994525896,5.0,,1073.4960000000003,3012.1809999999996,532.0129999999998,,,,81.80799999999998,232.801,,,,
2014-03-25,7.75,-1.25,0.75,0.23051365485645375,4637.388000011445,7.0,,2806.9309999999996,2788.751,459.589,,,,50.375,148.447,,,,
2014-03-26,7.2,-1.2,0.4,0.2939534624058421,6069.630000829695,5.0,,1736.7440000000006,2533.849,767.1449999999999,,,,41.95,1562.023,,,,
2014-03-27,7.25,,0.5,0.22884900892215096,5746.980998754502,3.0,,2267.1239999999993,2997.043000000002,490.78100000000006,,,,731.8530000000001,81.366,,,67.16300000000001,
2014-03-28,6.8,-0.6,0.6,0.2615983280781396,3969.5809991359724,8.0,2.0,1053.115,1245.1270000000004,707.6400000000001,,,,125.669,2717.215000000001,,,,
2014-03-29,7.25,-0.75,0.25,0.4324693550603951,4403.242997646333,4.0,,17416.279999999995,2141.489,1063.268,,,,52.841,523.854,501.644,,,
2014-03-30,7.0,-1.0,0.75,0.24188730879396786,3937.041998863219,10.0,1.0,772.7870000000001,1110.8560000000002,1278.594,,,,113.228,322.901,,,,
2014-03-31,7.2,-0.8,0.4,0.15637292366427655,4774.145999193192,14.0,2.0,1186.2989999999995,2481.322,354.96500000000015,,,,81.741,2038.631,,,,
2014-04-01,7.4,-0.2,0.8,0.2619605321890545,3297.7379970550537,2.0,1.0,2790.014,1322.61,76.976,,,,186.413,191.121,345.2000000000001,,,
2014-04-02,6.4,-0.6,-0.2,0.31912056179963355,6883.828001737594,2.0,,1964.21,2942.423,1021.454,,,,128.744,317.901,,,,
2014-04-03,5.75,-0.25,,0.3225058399099885,6814.30000090599,2.0,,1269.2990000000011,3595.4309999999996,548.7869999999999,,,,56.132,122.42099999999998,318.2940000000001,,,
2014-04-04,6.4,-1.2,0.2,0.22727035660896044,3653.3700008392334,5.0,,1121.6890000000003,2809.4359999999997,809.7279999999997,,,,148.852,141.32000000000005,,,,
2014-04-05,7.4,,0.6,0.3219197224805253,13067.926001548765,9.0,1.0,1957.0869999999984,2309.659,794.4839999999999,,,,100.897,258.611,388.07099999999997,,,
2014-04-06,4.5,-1.0,-1.25,0.21520952016085249,3649.967998504639,6.0,,576.3849999999999,1224.322,618.9800000000002,,,,30.011,391.54200000000014,,,,
2014-04-07,6.8,,0.6,0.13652373439609958,6366.52699828148,2.0,,1482.948,3761.179000000001,737.916,,,,106.148,2008.184,,,,
2014-04-08,6.25,-0.25,0.5,0.261951037621564,4079.151999473573,10.0,1.0,1184.7779999999993,2265.855,193.48,,,,134.434,636.2529999999998,,,,
2014-04-09,7.25,-0.5,0.25,0.24720984804489024,5757.426000595092,12.0,1.0,1427.0219999999995,2255.544999999999,627.2359999999999,,,,61.39699999999999,294.32099999999997,,,,
2014-04-10,7.25,0.25,0.75,0.2607506038432932,7844.238998651504,1.0,1.0,1303.4519999999998,2726.237,695.324,,,,141.214,566.807,525.113,,2.045,
2014-04-11,6.5,-0.5,0.5,0.4244814273084368,5810.030001163483,7.0,1.0,1548.1919999999993,2343.792999999999,700.7239999999998,,,,136.128,319.64499999999987,630.9290000000002,,,
2014-04-12,6.0,-2.0,-1.0,0.3783017333120428,3658.819001197815,6.0,1.0,1826.6679999999994,1516.7670000000005,,,,,11.015999999999998,157.19199999999995,362.18500000000006,,6.985999999999999,
2014-04-13,7.2,-0.6,0.4,0.2898201182828,2174.870997667313,1.0,,510.91299999999984,855.2189999999997,371.52,,,,79.11200000000002,123.07099999999996,159.64600000000002,,,
2014-04-14,8.0,0.75,1.0,0.18707405017212794,2773.0430009365086,8.0,7.0,809.9719999999996,1822.477,95.772,,,,21.182,56.817,,,84.48800000000001,
2014-04-15,7.25,-0.5,0.5,0.1736288831786874,701.2870004177097,14.0,1.0,98.26600000000002,445.917,19.658,,,,,25.386,,,,
2014-04-16,6.666666666666668,-0.3333333333333333,0.3333333333333333,0.3532763532763534,109.28399968147278,16.0,1.0,125.13299999999998,,,,,,,,,,,
2014-04-17,6.5,0.25,,0.4700854700854705,41.23499965667722,10.0,7.0,2.007,37.601,,,,,,,,,,
2014-04-19,5.666666666666668,-0.6666666666666666,-0.3333333333333333,0.5,187.3220000267031,1.0,,10.09,72.34100000000001,,,,,,,,,,
2014-04-20,5.0,-0.6666666666666666,,,,9.0,3.0,,,,,,,,,,,,
2014-04-21,5.5,-0.5,-0.5,,,8.0,,,,,,,,,,,,,
2014-04-22,5.666666666666668,-1.3333333333333333,-0.3333333333333333,0.075,13.08000016212468,15.0,2.0,,,,,,,,106.887,,,,
2014-04-23,5.5,,0.5,0.14285714285714302,,7.0,1.0,,,,,,,,,,,,
2014-04-24,7.0,-0.5,-0.5,0.0344827586206897,,,,,,,,,,,,,,,
2014-04-25,9.0,-1.0,1.0,,,,,,,,,,,,,,,,
