"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
2014-03-20,7,-1,1,0.00771604938271604,1108.20299935341,12,3,634.365,18.258,129.909,226.197,189.882,NA,391.575,142.671,NA,1637.562,NA,NA,0,0,0,1,0,0,0
2014-03-21,7,0.25,0.25,0.0157407407407407,90.2819995880127,3,12,90.264,2648.736,82.425,226.197,1709.025,NA,42.432,752.028,NA,9.03,NA,NA,0,0,0,0,1,0,0
2014-03-22,7.5,1,0.5,0.00771604938271604,4695.94500088692,18,3,89.613,1208.805,54.213,149.076,589.35,NA,174.714,9.039,NA,3213.285,NA,NA,0,0,0,0,0,1,0
2014-03-23,7.6,0.8,0.8,0.0432098765432099,2074.11300015449,6,3,139.236,1972.833,144.765,149.076,189.882,NA,197.376,1312.17,NA,66.441,NA,NA,0,0,0,0,0,0,1
2014-03-24,6.8,-0.2,0.4,0.0333333333333333,7178.84399843217,3,3,347.724,2299.491,488.967,149.076,1337.412,NA,42.162,684.846,NA,2863.962,NA,NA,1,0,0,0,0,0,0
2014-03-25,6,-0.75,-0.5,0.0789351851851852,7973.82300066948,6,3,2617.554,727.398,785.862,149.076,1042.158,NA,391.575,1569.261,NA,666.045,265.887,NA,0,1,0,0,0,0,0
2014-03-26,6.8,0.4,0.4,0.0257621567145376,2244.95099973679,3,12,770.634,242.346,1112.043,149.076,1683.021,NA,218.793,1042.095,NA,2863.962,NA,NA,0,0,1,0,0,0,0
2014-03-27,7,0.25,0.75,0.057,3791.1630012989,3,12,686.13,345.162,133.116,226.197,1874.163,NA,461.688,752.028,NA,2463.303,NA,NA,0,0,0,1,0,0,0
2014-03-28,6.25,0.5,0.25,0.0238095238095238,1381.65599942207,12,9,1226.241,400.047,48.213,226.197,1874.163,NA,24.081,249.45,NA,666.045,NA,NA,0,0,0,0,1,0,0
2014-03-29,7.4,1,1,0.138139158576052,2282.53199958801,12,3,366.729,63.39,232.095,149.076,1484.709,NA,367.446,982.386,NA,3213.285,NA,NA,0,0,0,0,0,1,0
2014-03-30,7.5,1,1,0.380208333333333,2504.02500128746,3,6,66.696,1332.393,54.213,226.197,1640.409,NA,42.144,982.386,NA,2463.303,NA,NA,0,0,0,0,0,0,1
2014-03-31,7,0.8,0.8,0.0125,62.1419992446899,3,9,90.264,62.127,72.411,226.197,1595.151,NA,24.081,2798.19,NA,2463.303,NA,NA,1,0,0,0,0,0,0
