"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
"2014-03-14",6.5,-0.25,0.5,0.3532763533,4815.4950013161,18,21,473.859,3075.093,481.374,0,669.261,85.893,377.1,0,20.958,0,0,0,0,1,0,0
"2014-03-15",7,0.2,0.6,0.3219197225,15927.7650032043,21,3,7263.327,6596.109,1055.082,0,2195.559,76.158,377.1,0,6.135,0,0,0,0,0,1,0
"2014-03-16",6.3333333333,-0.5,-0.5,0.1365237344,14707.8809988499,12,3,7311.138,9455.487,265.176,0,1224.318,544.773,1575.339,0,201.489,0,0,0,0,0,0,1
"2014-03-17",6.75,0.5,0.5,0.168068415,30479.3070037365,12,6,3688.041,13554.348,7533.534,0,311.097,309.084,3789.567,0,201.489,1,0,0,0,0,0,0
"2014-03-18",8.2,0.6,0.8,0.2194843843,13537.4130041599,45,3,7813.563,11799.243,266.829,0,266.166,637.092,478.938,0,20.958,0,1,0,0,0,0,0
"2014-03-19",6.8,0.4,0.4,0.3156317569,24548.2710006237,15,3,4663.674,7790.967,588.417,0,316.608,143.445,1701.495,0,253.464,0,0,1,0,0,0,0
"2014-03-20",7.25,-0.5,0.75,0.2390249602,13081.0020039082,30,3,5333.931,6463.113,444.54,0,260.571,394.794,1504.932,0,201.489,0,0,0,1,0,0,0
"2014-03-21",7.5,-0.75,0.75,0.2896279249,33467.5529973507,30,3,6690.909,8575.338,1378.812,0,113.832,1164.063,1326.888,0,253.464,0,0,0,0,1,0,0
"2014-03-22",6.5,-1,-0.5,0.4460436868,22768.6860086918,75,3,5790.798,5556.768,1988.733,0,129.612,1226.001,2341.851,0,253.464,0,0,0,0,0,1,0
"2014-03-23",6.25,-1,-0.5,0.269697157,13585.581001997,24,3,2683.518,5519.697,1164.294,0,185.595,515.982,3789.567,0,253.464,0,0,0,0,0,0,1
"2014-03-24",6.4,0.2,-0.2,0.1561246625,8299.9469983578,15,21,3220.488,9036.543,1596.039,0,245.424,698.403,377.1,0,20.958,1,0,0,0,0,0,0
"2014-03-25",7.75,-1.25,0.75,0.2305136549,13912.1640000343,21,3,8420.793,8366.253,1378.767,0,151.125,445.341,1504.932,0,201.489,0,1,0,0,0,0,0
"2014-03-26",7.2,-1.2,0.4,0.2939534624,18208.8900024891,15,3,5210.232,7601.547,2301.435,0,125.85,4686.069,2341.851,0,201.489,0,0,1,0,0,0,0
"2014-03-27",7.25,-0.3333333333,0.5,0.2288490089,17240.9429962635,9,3,6801.372,8991.129,1472.343,0,2195.559,244.098,1326.888,0,201.489,0,0,0,1,0,0,0
"2014-03-28",6.8,-0.6,0.6,0.2615983281,11908.7429974079,24,6,3159.345,3735.381,2122.92,0,377.007,8151.645,2341.851,0,201.489,0,0,0,0,1,0,0
"2014-03-29",7.25,-0.75,0.25,0.4324693551,13209.728992939,12,3,52248.8399999999,6424.467,3189.804,0,158.523,1571.562,1504.932,0,20.958,0,0,0,0,0,1,0
"2014-03-30",7,-1,0.75,0.2418873088,11811.1259965897,30,3,2318.361,3332.568,3835.782,0,339.684,968.703,954.882,0,201.489,0,0,0,0,0,0,1
"2014-03-31",7.2,-0.8,0.4,0.1563729237,14322.4379975796,42,6,3558.897,7443.966,1064.895,0,245.223,6115.893,954.882,0,253.464,1,0,0,0,0,0,0
"2014-04-01",7.4,-0.2,0.8,0.2619605322,9893.2139911652,6,3,8370.042,3967.83,230.928,0,559.239,573.363,1035.6,0,6.135,0,1,0,0,0,0,0
"2014-04-02",6.4,-0.6,-0.2,0.3191205618,20651.4840052128,6,3,5892.63,8827.269,3064.362,0,386.232,953.703,1086.555,0,253.464,0,0,1,0,0,0,0
"2014-04-03",5.75,-0.25,-0.5,0.3225058399,20442.900002718,6,3,3807.897,10786.293,1646.361,0,168.396,367.263,954.882,0,20.958,0,0,0,1,0,0,0
"2014-04-04",6.4,-1.2,0.2,0.2272703566,10960.1100025177,15,6,3365.067,8428.308,2429.184,0,446.556,423.96,3789.567,0,20.958,0,0,0,0,1,0,0
"2014-04-05",7.4,0.5,0.6,0.3219197225,39203.7780046463,27,3,5871.261,6928.977,2383.452,0,302.691,775.833,1164.213,0,253.464,0,0,0,0,0,1,0
"2014-04-06",4.5,-1,-1.25,0.2152095202,10949.9039955139,18,3,1729.155,3672.966,1856.94,0,90.033,1174.626,1701.495,0,201.489,0,0,0,0,0,0,1
"2014-04-07",6.8,-0.25,0.6,0.1365237344,19099.5809948444,6,3,4448.844,11283.537,2213.748,0,318.444,6024.552,1035.6,0,201.489,1,0,0,0,0,0,0
"2014-04-08",6.25,-0.25,0.5,0.2619510376,12237.4559984207,30,3,3554.334,6797.565,580.44,0,403.302,1908.759,1035.6,0,20.958,0,1,0,0,0,0,0
"2014-04-09",7.25,-0.5,0.25,0.247209848,17272.2780017853,36,3,4281.066,6766.635,1881.708,0,184.191,882.963,1164.213,0,20.958,0,0,1,0,0,0,0
"2014-04-10",7.25,0.25,0.75,0.2607506038,23532.7169959545,3,3,3910.356,8178.711,2085.972,0,423.642,1700.421,1575.339,0,6.135,0,0,0,1,0,0,0
"2014-04-11",6.5,-0.5,0.5,0.4244814273,17430.0900034904,21,3,4644.576,7031.379,2102.172,0,408.384,958.935,1892.787,0,201.489,0,0,0,0,1,0,0
"2014-04-12",6,-2,-1,0.3783017333,10976.4570035934,18,3,5480.004,4550.301,1856.94,0,33.048,471.576,1086.555,0,20.958,0,0,0,0,0,1,0
"2014-04-13",7.2,-0.6,0.4,0.2898201183,6524.6129930019,3,3,1532.739,2565.657,1114.56,0,237.336,369.213,478.938,0,201.489,0,0,0,0,0,0,1
"2014-04-14",8,0.75,1,0.1870740502,8319.1290028095,24,21,2429.916,5467.431,287.316,0,63.546,170.451,1575.339,0,253.464,1,0,0,0,0,0,0
"2014-04-15",7.25,-0.5,0.5,0.1736288832,2103.8610012531,42,3,294.798,1337.751,58.974,0,260.571,76.158,478.938,0,20.958,0,1,0,0,0,0,0
"2014-04-16",6.6666666667,-0.3333333333,0.3333333333,0.3532763533,327.8519990444,48,3,375.399,217.023,444.54,0,318.444,85.893,1504.932,0,20.958,0,0,1,0,0,0,0
"2014-04-17",6.5,0.25,-0.5,0.4700854701,123.70499897,30,21,6.021,112.803,444.54,0,90.033,573.363,1035.6,0,201.489,0,0,0,1,0,0,0
"2014-04-19",5.6666666667,-0.6666666667,-0.3333333333,0.5,561.9660000801,3,21,30.27,217.023,1114.56,0,318.444,244.098,1326.888,0,253.464,0,0,0,0,0,1,0
"2014-04-20",5,-0.6666666667,0.5,0.1365237344,24548.2710006237,27,9,3558.897,8991.129,588.417,0,669.261,698.403,2341.851,0,20.958,0,0,0,0,0,0,1
