"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
2014-04-08,8,0.5,1,0.181489262371615,24175.9859991074,18,6,5891.622,16328.421,3339.369,561.804,487.653,1044.468,669.201,3269.604,205.653,7209.402,NA,39.528,0,1,0,0,0,0,0
2014-04-09,7.4,0.5,0.2,0.101264880952381,29488.1280019283,27,6,5213.53500000001,11060.862,3184.482,121.371,1590.042,373.086,1110.3,6392.31,394.41,151.317,12.369,155.178,0,0,1,0,0,0,0
2014-04-10,6.5,0.25,0.5,0.143133972338936,19802.2769980431,18,3,7268.526,9206.61,69.372,121.371,102.84,223.623,949.191,6242.58,282.021,151.317,NA,63.309,0,0,0,1,0,0,0
2014-04-11,7.75,-0.25,0.5,0.155299145299145,19418.9460017681,9,21,34404.9,7770.828,3184.482,93.444,122.199,3.075,205.305,11975.958,556.305,151.317,NA,99.519,0,0,0,0,1,0,0
2014-04-12,7,-0.2,0.6,0.0445573911159067,3644.5260014534,9,3,2760.879,810.33,1015.197,93.444,3412.761,60.405,247.956,2588.508,205.653,151.317,NA,267.636,0,0,0,0,0,1,0
2014-04-13,6.6,-0.4,0.4,0.0386104404618194,17332.2000002861,12,12,1963.932,12009.285,8146.653,561.804,827.274,164.241,268.923,1938.498,471.9,7209.402,NA,160.98,0,0,0,0,0,0,1
2014-04-14,6.4,0.6,0.2,0.0910960553185188,23407.9049971104,24,3,4196.667,16124.631,937.773,561.804,5767.107,272.403,398.226,2664.753,258.681,151.317,NA,21.093,1,0,0,0,0,0,0
2014-04-15,6.5,-0.25,-0.6,0.0807479176257451,13397.5440058708,6,3,3716.085,7930.03500000001,1015.197,121.371,1129.362,373.086,647.418,745.53,258.681,7209.402,NA,99.519,0,1,0,0,0,0,0
2014-04-16,7.2,0.2,0.6,0.105316025619053,22651.9019987583,18,9,3499.104,15987.39,181.317,93.444,736.836,492.999,849.645,1557,66.822,7209.402,NA,15.099,0,0,1,0,0,0,0
2014-04-17,6.5,0.5,0.2,0.121784477582202,52749.4710044861,9,6,5470.79700000001,28486.155,181.317,561.804,1129.362,1212.996,359.178,16921.164,556.305,7209.402,NA,15.099,0,0,0,1,0,0,0
2014-04-18,6.25,-0.25,-0.4,0.0737268203759255,35273.8079967499,12,42,11180.37,23985.42,181.317,93.444,30.105,1212.996,685.005,1818.588,471.9,151.317,NA,39.528,0,0,0,0,1,0,0
2014-04-19,7.5,-0.75,0.8,0.156112304623276,18304.2270040512,18,12,1882.653,9670.68000000001,3184.482,561.804,427.122,75.45,1939.749,4306.047,44.748,7209.402,NA,39.333,0,0,0,0,0,1,0
2014-04-20,6.8,-1.2,0.4,0.0276315789473684,18123.3450028896,9,3,4590.327,11959.545,3558.111,561.804,186.423,75.45,378.42,734.7,111.537,7209.402,NA,157.797,0,0,0,0,0,0,1
2014-04-21,7.4,-0.4,0.8,0.0906249999999999,28138.1279997826,18,30,5897.427,10520.649,1015.197,93.444,981.519,188.097,570.852,8858.499,2130.702,151.317,NA,154.665,1,0,0,0,0,0,0
2014-04-22,8.25,0.25,1,0.127701651790246,34475.7930014134,27,30,15857.463,17148.324,2071.113,93.444,54.21,272.403,683.457,833.265,135.771,7209.402,NA,48.237,0,1,0,0,0,0,0
