time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,day_0,day_1,day_2,day_3,day_4,day_5,day_6
2014-03-14,6.5,-0.25,0.5,,729.1380007266999,15.0,3.0,808.2030000000003,105.48299999999999,,,,,517.581,,,,,,0,0,0,0,1,0,0
2014-03-15,6.75,0.75,0.5,,495.05100059509283,24.0,,121.29899999999998,373.0349999999999,,,,,,,,,,,0,0,0,0,0,1,0
2014-03-16,6.166666666666668,-0.6666666666666666,0.3333333333333333,,,3.0,,,,,,,,,,,,,,0,0,0,0,0,0,1
2014-03-17,6.4,,,,2.084999799728394,24.0,,19.932000000000002,,,,,,,,,,,,1,0,0,0,0,0,0
2014-03-18,7.2,0.4,1.2,0.11873714520773344,9643.886999845508,21.0,,4047.1650000000013,5342.240999999997,15.057,,,135.55800000000002,162.768,,283.65599999999995,,51.246,,0,1,0,0,0,0,0
2014-03-19,7.4,0.2,1.2,,,15.0,,,,,,,,,,,,,,0,0,1,0,0,0,0
2014-03-20,7.0,0.6,1.0,0.02976190476190475,3919.850998878481,15.0,21.0,1377.8819999999994,2541.740999999999,,,,,,,,,,,0,0,0,1,0,0,0
2014-03-21,7.0,0.2,0.8,0.06922398589065255,2460.359999656677,15.0,,2880.3239999999987,585.66,,,,9.03,42.351000000000006,,,,,,0,0,0,0,1,0,0
2014-03-22,7.0,-0.4,1.0,0.0710591929079324,1075.7790012359621,,,767.4239999999999,241.53000000000003,,,,,66.51,,,,,,0,0,0,0,0,1,0
2014-03-23,7.0,0.2,1.0,0.14492753623188415,1687.3260004520425,,,88.77300000000004,1568.1540000000002,,,,,30.305999999999997,,,,,,0,0,0,0,0,0,1
2014-03-24,7.0,1.0,0.8,,979.7849993705744,,,776.3309999999999,114.621,,,,64.39200000000001,24.138,,,,,,1,0,0,0,0,0,0
2014-03-25,7.0,0.8,1.0,0.0043103448275862,4334.4030010700235,3.0,,1663.568999999999,2670.4139999999993,,,,,,,,,,,0,1,0,0,0,0,0
