"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
"2014-05-05",7.3333333333,-0.3333333333,0.6666666667,0.2139411713,16615.9170005322,27,51,2730.906,5026.677,66.93,2023.809,126.297,6192.777,998.031,0,9.054,1,0,0,0,0,0,0
"2014-05-06",7.6,0.4,0.75,0.0899461366,42246.3269999027,3,12,478.35,6007.014,84.471,5457.894,6.021,10779.084,272.151,0,81.186,0,1,0,0,0,0,0
"2014-05-07",7.8,-0.2,0.8,0.034468535,8291.9670009613,6,9,24.135,1301.652,4584.663,604.662,2985.081,3372.768,1232.193,0,84.66,0,0,1,0,0,0,0
"2014-05-08",7.8,0.4,1,0.1176933022,27851.0430099964,3,6,533.181,13698.783,39.375,5857.914,101.895,9437.865,208.242,0,24.261,0,0,0,1,0,0,0
"2014-05-09",7.4,-0.4,0.6,0.0582699094,37187.4870042801,3,18,1273.899,15682.38,3845.136,969.975,2976.171,12237.096,1232.193,0,81.186,0,0,0,0,1,0,0
"2014-05-10",7,-0.2,0.4,0.1223394165,48066.1169979572,3,3,1047.663,21066.051,84.471,4021.572,628.395,21486.27,106.77,0,9.282,0,0,0,0,0,1,0
"2014-05-11",7,-0.8,0.4,0.0151751189,27014.4960007667,3,9,493.101,8192.133,129.48,1566.078,186.975,16411.305,160.932,0,6.897,0,0,0,0,0,0,1
"2014-05-12",7.6,-0.2,0.8,0.1495170429,40944.0930011272,3,18,2318.748,18704.787,2573.52,3027.813,132.777,16084.395,63.858,0,9.18,1,0,0,0,0,0,0
"2014-05-13",8.2,0.6,0.8,0.1152475244,39251.7720000744,6,18,1130.121,18815.856,159.741,2531.424,1535.304,21397.788,208.242,0,84.66,0,1,0,0,0,0,0
"2014-05-14",7.6,0.2,0.4,0.125,22.3080003262,6,6,667.275,614.595,4584.663,21.513,199.479,404.619,160.932,0,9.282,0,0,1,0,0,0,0
