time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-04-08,8.0,0.5,1.0,0.1814892623716153,8058.661999702453,6.0,2.0,1963.874,5442.806999999996,,,162.55100000000002,348.15599999999995,223.067,1089.868,68.55099999999999,,,13.175999999999998
2014-04-09,7.4,,0.2,0.10126488095238097,9829.376000642776,9.0,2.0,1737.8449999999993,3686.954000000001,1061.494,,530.014,124.36200000000001,370.1,2130.7700000000004,131.47,,4.123,51.726000000000006
2014-04-10,6.5,0.25,0.5,0.14313397233893554,6600.7589993476895,,1.0,2422.841999999999,3068.87,23.124,,34.28,74.541,316.397,2080.86,94.007,,,21.103
2014-04-11,7.75,-0.25,0.5,0.15529914529914535,6472.98200058937,3.0,7.0,11468.3,2590.2759999999994,,,40.733,1.025,68.435,3991.986,,,,
2014-04-12,7.0,-0.2,0.6,0.044557391115906717,1214.8420004844672,3.0,1.0,920.293,270.11,,,,20.135,82.652,862.836,,,,
2014-04-13,6.6,-0.4,0.4,0.038610440461819405,5777.400000095364,4.0,,654.6440000000001,4003.094999999999,,,275.758,54.747,89.64100000000002,646.1659999999998,,,,53.66
2014-04-14,6.4,0.6,0.2,0.09109605531851883,7802.63499903679,8.0,,1398.8890000000006,5374.8769999999995,,,,,132.74200000000002,888.2510000000002,,,,7.0310000000000015
2014-04-15,6.5,-0.25,,0.08074791762574518,4465.848001956941,2.0,1.0,1238.695,2643.345,,,,,215.80599999999995,248.51,86.227,,,33.173
2014-04-16,7.2,0.2,0.6,0.10531602561905302,7550.633999586104,6.0,3.0,1166.3680000000004,5329.130000000002,60.43899999999999,,,164.333,283.215,519.0,22.274,,,5.033
2014-04-17,6.5,,,0.12178447758220234,17583.157001495358,3.0,,1823.599,9495.384999999997,,,,404.33200000000005,119.726,5640.388000000001,185.435,,,
2014-04-18,6.25,-0.25,,0.07372682037592555,11757.93599891662,4.0,14.0,3726.789999999998,7995.140000000002,,,10.035,,228.335,606.1959999999998,157.3,,,
2014-04-19,7.5,-0.75,,0.15611230462327638,6101.409001350406,6.0,,627.5510000000003,3223.5600000000013,,,142.37400000000005,25.15,646.5830000000001,1435.349,,,,
2014-04-20,6.8,,,0.02763157894736842,6041.11500096321,3.0,,1530.1090000000004,3986.515,,,62.141000000000005,,126.14,244.9,37.179,,,52.599
2014-04-21,7.4,-0.4,0.8,0.09062499999999996,9379.375999927524,6.0,10.0,1965.809,3506.8829999999994,,,327.173,,190.284,2952.833,710.2340000000003,,,51.55500000000001
2014-04-22,8.25,0.25,1.0,0.12770165179024576,11491.93100047112,9.0,,5285.821000000001,5716.107999999998,,,18.07,90.801,227.819,277.755,45.257,,,
2014-04-23,6.5,-0.5,,0.07593836088154272,8629.494999408722,4.0,4.0,1844.4720000000007,4852.758000000002,,,,62.699,141.41799999999995,1772.1229999999996,,,,9.127
2014-04-24,6.0,-1.2,,0.08576388888888888,9902.590000629423,7.0,,2421.522,7469.537000000002,,,125.654,,122.705,664.8739999999999,629.148,,,41.297
2014-04-25,6.25,-0.25,-0.25,0.055208333333333325,7663.566999435428,2.0,,1773.2869999999994,3768.1669999999986,1186.037,,1137.587,2.012,96.91,86.34899999999998,,,,89.212
2014-04-26,7.0,0.5,1.0,0.17103565997282574,7433.59100008011,6.0,,1286.2660000000005,3882.575,,,,,64.717,2552.732,,,,
2014-04-27,7.4,,0.8,0.02219573355936993,3357.7690005302425,1.0,,496.572,2359.353999999999,,187.268,245.612,10.159,103.794,,,50.43899999999999,,
2014-04-28,7.2,,0.4,0.12131769374416435,13320.088998556135,12.0,4.0,2788.6469999999995,9636.67000000001,312.591,,550.979,2.007,473.03800000000007,4.081,45.408,,,28.180999999999997
2014-04-29,6.0,-1.2,-0.6,0.0829631542699724,10994.99999952316,10.0,10.0,2111.7290000000007,7283.239000000001,690.3710000000001,,436.24800000000005,,289.26700000000005,625.513,14.916,,,17.795
