time,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
2014-02-18,,,,,,2.0,,,,,,,,,,,,,
2014-02-19,,,,,,2.0,,,,,,,,,,,,,
2014-02-20,,,,,,,,,,,,,,,,,,,
2014-02-21,,,,,,2.0,,,,,,,,,,,,,
2014-02-22,,,,,,,,,,,,,,,,,,,
2014-02-23,,,,,,,,,,,,,,,,,,,
2014-02-24,,,,,,2.0,,,,,,,,,,,,,
2014-02-25,,,,,,2.0,,,,,,,,,,,,,
2014-02-26,,,,,,,,,,,,,,,,,,,
2014-02-27,,,,,,6.0,,,,,,,,,,,,,
2014-02-28,,,,,,4.0,,,,,,,,,,,,,
2014-03-01,,,,,,4.0,,,,,,,,,,,,,
2014-03-02,,,,,,14.0,,,,,,,,,,,,,
2014-03-03,,,,,,2.0,,,,,,,,,,,,,
2014-03-04,,,,,,2.0,,,,,,,,,,,,,
2014-03-05,,,,,,8.0,,,,,,,,,,,,,
2014-03-06,,,,,,,,,,,,,,,,,,,
2014-03-07,,,,,,2.0,,,,,,,,,,,,,
2014-03-08,,,,,,2.0,,,,,,,,,,,,,
2014-03-09,,,,,,2.0,2.0,,,,,,,,,,,,
2014-03-10,,,,,,,,,,,,,,,,,,,
2014-03-11,,,,,,6.0,,,,,,,,,,,,,
2014-03-12,,,,,,8.0,,,,,,,,,,,,,
2014-03-13,,,,,,,,,,,,,,,,,,,
2014-03-14,8.0,-1.0,2.0,,11245.019998073578,6.0,,514.1419999999999,8724.858,538.818,,,,716.8299999999999,937.2980000000001,,,57.31399999999999,
2014-03-15,6.2,,0.4,,17807.564000129707,6.0,,1595.6179999999995,12729.975999999995,4101.652000000003,,,,349.8619999999999,1367.146,,373.7539999999999,82.63399999999999,
2014-03-16,6.333333333333333,-0.6666666666666666,,,11096.097997665403,6.0,,779.5460000000003,8379.928000000005,1560.6600000000017,,,,177.37000000000003,,,110.688,56.745999999999995,
2014-03-17,6.0,-0.4,0.4,0.08337052096204703,11227.64800262451,,4.0,1679.194,3548.0580000000023,2041.6439999999998,,,,296.544,,,14.136,38.656,
2014-03-18,7.5,0.25,1.0,0.11319590615792094,14354.052001476299,18.0,,845.548,8823.042000000005,1810.7399999999984,,,,134.66800000000003,,,56.578,115.83199999999998,
2014-03-19,6.75,1.0,0.75,0.13369126492653632,12191.620002269743,,,471.614,8641.481999999998,2062.353999999998,,,,244.79400000000004,,,46.786,30.18,
2014-03-20,7.2,1.0,0.8,0.11845679938612315,9725.731998443605,,2.0,244.41600000000003,8973.726000000002,1024.8359999999998,,,,314.3920000000001,,,,,
2014-03-21,7.25,,1.0,0.050197722898856156,6064.637999057772,4.0,6.0,787.5879999999999,4534.7580000000025,751.5839999999996,,,,107.69599999999998,,,,,
2014-03-22,3.75,-2.0,-1.0,0.018560992335206163,3612.359999179841,,,26.082,2197.1380000000004,1283.842,,,,236.10200000000006,,,,14.072000000000001,
2014-03-23,4.4,-1.4,-1.0,0.0852428972480861,7983.632000446321,2.0,18.0,538.9279999999999,5760.896000000001,1498.6780000000006,,,,182.55400000000003,,,,,
2014-03-24,3.75,-2.0,-1.0,0.0065358720727085465,8333.890001773834,,2.0,2235.77,7305.342000000002,1108.52,,,,248.14000000000001,,,199.876,307.254,
2014-03-25,5.333333333333333,-1.0,0.3333333333333333,0.040966888004228603,19046.28600215911,,2.0,231.17200000000003,11863.017999999996,5375.913999999999,,,,507.414,,,314.3960000000001,990.0760000000002,
2014-03-26,5.5,-0.5,0.25,0.03923650919372562,17046.05799913407,,2.0,353.832,15101.80000000001,1431.0559999999996,,,,187.40599999999998,,,248.574,,
2014-03-27,5.8,-0.6,0.2,0.07717586025360933,22527.052003383633,2.0,2.0,1241.7159999999997,17486.305999999993,2274.4080000000004,,,,214.712,,,275.28600000000006,52.56999999999999,
2014-03-28,6.2,,0.6,0.04532458316828961,9612.560000419619,2.0,,617.66,7535.350000000001,8258.826,,,,223.44400000000005,690.0139999999999,,,34.141999999999996,
2014-03-29,6.4,-0.4,1.0,0.10442318185053041,5013.438000679017,6.0,2.0,947.0200000000002,3169.560000000001,690.4839999999997,,,,182.78199999999998,,,65.066,94.28,
2014-03-30,6.2,-0.8,0.8,0.07491950961612633,8264.569998741148,8.0,,388.4639999999998,6471.241999999997,720.884,,,,252.834,,,45.84199999999999,191.79000000000002,
2014-03-31,6.8,-0.4,1.0,0.05534132176899742,2556.481998443602,4.0,,220.754,1163.5079999999994,2539.428000000001,,,,244.0800000000001,,,511.4200000000001,133.05200000000002,
2014-04-01,7.0,,1.0,0.07812598561495,9284.549998760225,,,919.2099999999999,5598.1939999999995,1838.094,,,,137.358,713.014,,104.97599999999998,38.262,
2014-04-02,7.0,-0.2,1.0,0.07312614127423467,6725.08599805832,,,777.0600000000002,3495.1760000000013,1303.0119999999997,,,,225.438,617.598,,351.24800000000005,20.211999999999996,
2014-04-03,7.2,-1.0,0.8,0.052751485335188086,9184.901998043053,,,1415.13,6053.753999999999,503.8240000000001,,,,173.178,1289.5240000000001,,,,
2014-04-04,7.0,-0.8,1.0,0.041456523574859745,18280.390001297008,6.0,,3163.618,13055.024000000009,545.4619999999999,,,,491.512,475.182,,481.04000000000013,45.022,
2014-04-05,7.5,,1.0,0.06928846414407398,4978.106001853943,2.0,,558.288,2645.446000000001,435.1419999999998,,,,916.9399999999999,,,235.05200000000002,,
2014-04-06,6.8,-0.4,1.0,0.0773626381532749,8534.770000457767,4.0,,458.794,7208.83800000001,1775.332,,,,131.786,12.072000000000001,,,145.996,
2014-04-07,6.75,-0.25,0.75,0.06685869441897199,10004.757999420166,2.0,,942.1659999999999,8040.067999999994,697.0259999999998,,,,155.84199999999996,,,92.50200000000001,64.406,
2014-04-08,6.75,0.25,,0.08512478025882425,4985.638002872468,2.0,,543.6740000000001,2945.3340000000007,4001.6840000000057,,,,1305.54,,,14.088000000000003,,
2014-04-09,7.0,0.25,0.75,0.1536189527904702,15815.131997108467,2.0,,997.2519999999997,12457.184000000005,1862.9080000000004,,,,288.672,14.322000000000001,,174.29399999999998,8.032,
2014-04-10,7.2,0.8,1.0,0.013347120143232584,6738.5560002326965,2.0,,979.4419999999998,4209.495999999999,1759.7700000000007,,,,3792.316,515.328,,,8.066,
2014-04-11,7.0,0.2,0.6,0.09461525027599361,11750.196002006536,,,2026.0919999999999,9562.80000000001,1103.3820000000014,,,42.254,201.976,145.08599999999998,,,10.08,
2014-04-12,7.0,-1.4,1.0,0.04929885725426734,18569.569997310642,,6.0,748.9839999999999,14116.617999999999,1063.3040000000003,,,,205.07599999999996,1533.9460000000001,,297.386,76.882,
2014-04-13,7.5,0.3333333333333333,1.0,0.11412738344393668,4701.216001033782,26.0,,1236.3080000000004,3337.2819999999992,403.92199999999997,,,,283.26,397.272,,,,
2014-04-14,6.4,-1.2,0.4,0.10172344511577691,8094.945999622346,,,1248.5519999999997,2997.3160000000003,779.1559999999997,,,,297.256,2282.0600000000004,,492.786,148.19799999999998,
2014-04-15,7.0,0.2,0.8,0.057296548856612596,15080.57400178909,,,779.378,8593.380000000005,1204.5939999999994,,,,1190.334,3123.7739999999994,,439.072,22.447999999999997,
2014-04-16,7.2,-0.6,0.8,0.10564943114617575,3558.0719990730267,,,448.948,2130.004000000001,470.18200000000024,,,,252.94200000000004,925.01,,,46.388,
2014-04-17,6.6,0.4,0.6,0.11503845562252701,10927.001999378206,,,1164.8719999999996,8163.533999999998,874.7660000000001,,,,173.65200000000002,1667.4159999999997,,80.106,80.72799999999998,
2014-04-18,7.5,0.25,1.0,0.1151674072246059,11909.914001941679,2.0,2.0,2247.9800000000005,8339.88,1652.9359999999997,,,,539.2120000000001,1763.11,,385.038,6.056,
2014-04-19,7.2,-0.8,0.8,0.060886989835605275,4882.942003250124,4.0,,232.93400000000003,2281.0999999999985,87.58000000000004,,,,225.10400000000004,1808.7899999999997,,211.576,28.57,
2014-04-20,7.2,-1.2,1.0,0.03538299274192723,15227.459999561312,,,745.718,9980.498000000001,1239.0940000000005,,,,92.726,2942.504,,360.73600000000005,219.83999999999997,
2014-04-21,7.2,-0.6,1.0,0.10177745806111632,15653.715999603282,,,867.096,11878.392000000003,733.4979999999998,,,,125.26400000000002,1295.09,10.058,110.666,430.05799999999994,
2014-04-22,7.2,0.4,1.0,0.06284797975562104,9500.394003868105,2.0,2.0,1051.5999999999997,4448.011999999999,558.8820000000002,,,,304.232,2904.2259999999987,,195.13400000000001,24.36,
2014-04-23,7.2,-1.0,1.0,0.08094689688962851,9475.637997150416,,2.0,489.7119999999999,6879.626000000002,1932.006000000001,,,,146.51999999999998,1776.306,,232.368,,
2014-04-24,7.2,-0.75,1.0,0.039371066186060205,10127.328001022339,,,880.4720000000001,7848.441999999998,198.35200000000003,,,,116.486,1087.7299999999998,,98.38799999999999,20.074,
2014-04-25,7.2,-1.2,1.0,0.04905272151838807,11500.288005352018,6.0,,3182.036,7012.4540000000015,1676.8500000000001,,,,131.564,2523.5679999999998,,436.7919999999999,70.52999999999999,
2014-04-26,7.8,-0.8,1.0,0.20016636094205964,10963.010000705715,4.0,2.0,1377.9479999999994,6728.005999999994,2340.9699999999993,,,,293.308,1419.0979999999997,,32.147999999999996,144.918,
2014-04-27,7.4,-0.6,1.0,0.01882248289596798,6093.680001735688,,,260.144,6339.204000000007,460.2340000000002,,,,435.14999999999986,1045.982,,,157.51599999999996,
2014-04-28,7.0,-0.6,1.0,0.010304627529119472,12114.660000801086,2.0,,855.9080000000002,9423.819999999994,1343.054,,,,111.19799999999998,1145.4340000000002,,348.02799999999996,6.02,
2014-04-29,6.8,0.4,0.8,0.04116509714674098,7660.691997528076,,,,5479.830000000004,1167.3100000000006,,,,282.4279999999999,4693.29,,350.95599999999996,20.247999999999998,
2014-04-30,7.0,-0.6,1.0,0.06160851782272659,7425.665999412537,,,63.162000000000006,5898.573999999999,207.18200000000002,,,,128.584,690.2960000000002,,406.5920000000001,20.136,
2014-05-01,6.8,-0.2,1.0,0.025292275106005613,10167.709997653958,,,686.1779999999999,8320.984,180.908,,,,278.67600000000004,990.41,,,,
2014-05-02,7.0,-0.2,1.0,0.006817240295425038,25201.21199846268,,14.0,6322.297999999997,14977.282000000007,780.8140000000003,,,,899.29,1786.1499999999996,,239.17399999999998,84.45800000000001,
2014-05-03,6.75,0.25,1.0,0.054470851488538474,7430.501998424534,2.0,10.0,979.9979999999998,4916.828000000002,329.47399999999993,,,,118.19200000000004,1435.4779999999996,,429.03200000000004,18.15,
2014-05-04,7.0,0.25,1.0,0.07258033493084995,8264.953998088838,4.0,,355.416,6579.769999999999,539.3619999999997,,,,208.106,143.916,,220.14199999999994,52.316,
2014-05-05,6.333333333333333,-0.3333333333333333,1.0,0.0024906600249066002,98.06600046157834,,,,65.54199999999999,10.31,,,,20.442,,,,,
