"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
"2014-03-18",4.75,-1.6666666667,-0.6666666667,0.090990182,3550.1820001602,9,24,1331.124,3811.725,4478.151,0,516.297,662.958,3.012,178.173,21.63,0,1,0,0,0,0,0
"2014-03-19",6.8,-1,1.4,0.0756944444,34580.5110039711,6,6,5413.92,19437.015,5289.669,0,272.616,2824.98,437.871,765.48,3.006,0,0,1,0,0,0,0
"2014-03-20",5.25,-0.75,-0.25,0.0756944444,32216.6640007496,12,3,4480.857,20680.968,3388.389,0,262.299,3257.742,3.012,765.48,21.63,0,0,0,1,0,0,0
"2014-03-21",7,0.3333333333,1,0.1059560204,53850.3990004063,6,12,2693.763,11823.528,2349.375,0,270.828,5578.788,493.812,66.264,93.654,0,0,0,0,1,0,0
"2014-03-22",6,-0.4,0.4,0.0822916667,33059.4630017281,6,24,1575.576,19255.338,5575.188,0,1073.16,3856.749,1842.738,343.296,42.678,0,0,0,0,0,1,0
"2014-03-23",7.75,0.2,1.5,0.0897002479,30607.913990736,12,12,2043.438,23092.2929999999,1898.388,0,340.005,2299.605,493.812,1237.884,93.654,0,0,0,0,0,0,1
"2014-03-24",8,0.5,1,0.080762258,16551.4649956226,12,27,4357.347,9186.627,1540.065,0,565.935,1601.385,174.645,232.419,21.63,1,0,0,0,0,0,0
"2014-03-25",7.6666666667,-0.5,1.3333333333,0.1343449018,37549.3439941406,12,12,3381.069,22455.918,4477.563,0,1930.455,4486.353,392.802,620.736,42.678,0,1,0,0,0,0,0
"2014-03-26",6.6,0.2,0.6,0.1032937313,27568.6560001373,24,12,7145.25,13519.281,3822.951,0,311.757,2012.685,611.223,336.285,18.114,0,0,1,0,0,0,0
"2014-03-27",6.8,0.2,0.4,0.0897002479,29126.3369972706,6,24,5835.345,14466.891,785.601,0,180.834,6755.079,155.304,232.419,3.009,0,0,0,1,0,0,0
"2014-03-28",8.25,0.25,1.5,0.0980998425,38952.1230046749,3,27,7965.981,14383.233,6487.842,0,695.304,5754.675,1941.279,915.219,42.678,0,0,0,0,1,0,0
"2014-03-29",7,0.2,1,0.0418758536,31724.1779994965,9,15,5228.826,5798.739,16080.309,0,1135.65,4440.285,923.256,253.041,18.114,0,0,0,0,0,1,0
"2014-03-30",6.2,0.2,0.4,0.0625734603,26219.3760001659,6,3,5226.606,12401.109,1821.246,0,213.072,3782.64,798.15,336.285,93.654,0,0,0,0,0,0,1
"2014-03-31",4.3333333333,-1,-1,0.0513660767,39562.3380002975,15,3,4999.95,14948.778,11383.233,0,144.501,6943.929,623.568,451.836,42.678,1,0,0,0,0,0,0
"2014-04-01",6.6,-1,0.8,0.080762258,44099.0999979973,9,24,3788.496,22216.647,14268.738,0,166.146,3191.985,66.537,1244.895,18.114,0,1,0,0,0,0,0
"2014-04-02",5.5,-1.25,0.25,0.1561874532,39989.894995451,39,12,11751.915,12658.182,5171.28,0,315.009,2840.109,2134.395,216.846,42.678,0,0,1,0,0,0,0
