"time","mood","circumplex.arousal","circumplex.valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","day_0","day_1","day_2","day_3","day_4","day_5","day_6"
2014-03-21,9,1,2,0.138918931436301,4994.86200284958,15,6,504.165,5174.217,2838.051,1342.629,NA,30.138,1630.764,58.365,79.851,421.767,18.465,95.865,0,0,0,0,1,0,0
2014-03-22,7.8,0.8,1,0.191388308645086,7930.61100125313,24,3,1446.264,1375.485,11746.572,517.728,NA,319.458,267.648,23.628,505.635,248.292,13.05,95.865,0,0,0,0,0,1,0
2014-03-23,8.2,-0.2,1.2,0.100246698394212,15145.0110018253,3,3,1477.728,4509.366,5224.173,109.092,NA,485.994,754.587,58.365,826.215,105.801,51.909,134.562,0,0,0,0,0,0,1
2014-03-24,7.8,-0.6,1.4,0.090740222421567,18744.1379985809,9,6,276.738,6847.00800000001,11724.129,315.651,NA,375.975,2553.051,39.66,1622.796,33.192,15.408,95.865,1,0,0,0,0,0,0
2014-03-25,7.8,-0.4,1.2,0.132768285523492,11373.3360006809,18,3,3133.485,3915.294,4054.248,1342.629,NA,423.228,400.89,23.628,501.657,141.972,86.529,134.562,0,1,0,0,0,0,0
2014-03-26,8.25,0.5,1,0.0911532011403041,11957.930996418,3,6,355.917,3884.367,7067.619,261.423,NA,62.052,218.04,39.66,38.52,22.947,15.48,95.865,0,0,1,0,0,0,0
2014-03-27,7.75,0.25,0.5,0.103195753698731,9826.89600491524,9,3,1765.008,2794.986,4961.271,109.092,NA,40.311,180.096,58.365,501.657,33.384,52.47,134.562,0,0,0,1,0,0,0
2014-03-28,8,-0.5,1.5,0.104679287979066,9751.32599473,9,3,832.578,2822.637,10055.373,148.113,NA,138.618,739.128,23.628,79.851,191.361,21.135,134.562,0,0,0,0,1,0,0
2014-03-29,8.6,-0.2,1.6,0.163377337758651,6784.17300152779,9,3,57.93,458.784,7587.684,148.113,NA,319.458,313.275,23.628,505.635,63.288,48.81,95.865,0,0,0,0,0,1,0
2014-03-30,8.4,-0.2,1,0.164650715266679,10706.1569981575,3,3,38.607,3670.869,6119.442,157.062,NA,78.852,558.162,58.365,207.102,105.801,93.993,95.865,0,0,0,0,0,0,1
